"code","scientific_name","common_name"
NA,"odontophorus melanotis","black-eared wood-quail"
NA,"odontophorus leucolaemus","black-breasted wood-quail"
"spwqua1","odontophorus guttatus","spotted wood-quail"
"wiltur","meleagris gallopavo","wild turkey"
"ocetur1","meleagris ocellata","ocellated turkey"
"compea","pavo cristatus","indian peafowl"
NA,"gallus gallus","red junglefowl"
"grefla2","phoenicopterus ruber","american flamingo"
"leagre","tachybaptus dominicus","least grebe"
"pibgre","podilymbus podiceps","pied-billed grebe"
"eargre","podiceps nigricollis","eared grebe"
"rocpig","columba livia","rock pigeon"
NA,"patagioenas cayennensis","pale-vented pigeon"
NA,"patagioenas speciosa","scaled pigeon"
"whcpig2","patagioenas leucocephala","white-crowned pigeon"
"rebpig1","patagioenas flavirostris","red-billed pigeon"
"batpig1","patagioenas fasciata","band-tailed pigeon"
NA,"patagioenas subvinacea","ruddy pigeon"
"shbpig","patagioenas nigrirostris","short-billed pigeon"
"eucdov","streptopelia decaocto","eurasian collared-dove"
"incdov","columbina inca","inca dove"
"cogdov","columbina passerina","common ground dove"
NA,"columbina minuta","plain-breasted ground dove"
"rugdov","columbina talpacoti","ruddy ground dove"
NA,"claravis pretiosa","blue ground dove"
NA,"geotrygon montana","ruddy quail-dove"
"whtdov","leptotila verreauxi","white-tipped dove"
NA,"leptotila jamaicensis","caribbean dove"
NA,"leptotila cassinii","gray-chested dove"
NA,"leptotila plumbeiceps","gray-headed dove"
NA,"zentrygon costaricensis","buff-fronted quail-dove"
NA,"zentrygon lawrencii","purplish-backed quail-dove"
NA,"zentrygon albifacies","white-faced quail-dove"
NA,"zentrygon chiriquensis","chiriqui quail-dove"
"whwdov","zenaida asiatica","white-winged dove"
"eardov1","zenaida auriculata","eared dove"
"moudov","zenaida macroura","mourning dove"
"greani1","crotophaga major","greater ani"
"smbani","crotophaga ani","smooth-billed ani"
"grbani","crotophaga sulcirostris","groove-billed ani"
NA,"tapera naevia","striped cuckoo"
NA,"morococcyx erythropygus","lesser ground-cuckoo"
NA,"piaya cayana","squirrel cuckoo"
"yebcuc","coccyzus americanus","yellow-billed cuckoo"
"mancuc","coccyzus minor","mangrove cuckoo"
"bkbcuc","coccyzus erythropthalmus","black-billed cuckoo"
"lesnig","chordeiles acutipennis","lesser nighthawk"
"comnig","chordeiles minor","common nighthawk"
"antnig","chordeiles gundlachii","antillean nighthawk"
"compau","nyctidromus albicollis","common pauraque"
NA,"nyctiphrynus yucatanicus","yucatan poorwill"
"chwwid","antrostomus carolinensis","chuck-will's-widow"
NA,"antrostomus badius","yucatan nightjar"
NA,"antrostomus ridgwayi","buff-collared nightjar"
"easwpw1","antrostomus vociferus","eastern whip-poor-will"
NA,"antrostomus saturatus","dusky nightjar"
NA,"antrostomus arizonae","mexican whip-poor-will"
NA,"nyctibius griseus","common potoo"
"blkswi","cypseloides niger","black swift"
NA,"streptoprocne zonaris","white-collared swift"
NA,"chaetura cinereiventris","gray-rumped swift"
"chiswi","chaetura pelagica","chimney swift"
"vauswi","chaetura vauxi","vaux's swift"
NA,"chaetura brachyura","short-tailed swift"
"whtswi","aeronautes saxatalis","white-throated swift"
NA,"panyptila cayennensis","lesser swallow-tailed swift"
NA,"panyptila sanctihieronymi","great swallow-tailed swift"
NA,"florisuga mellivora","white-necked jacobin"
NA,"eutoxeres aquila","white-tipped sicklebill"
NA,"glaucis hirsutus","rufous-breasted hermit"
NA,"threnetes ruckeri","band-tailed barbthroat"
NA,"phaethornis guy","green hermit"
NA,"phaethornis longirostris","long-billed hermit"
NA,"phaethornis striigularis","stripe-throated hermit"
NA,"colibri delphinae","brown violetear"
NA,"colibri thalassinus","mexican violetear"
NA,"colibri cyanotus","lesser violetear"
NA,"androdon aequatorialis","tooth-billed hummingbird"
NA,"anthracothorax nigricollis","black-throated mango"
"gnbman","anthracothorax prevostii","green-breasted mango"
NA,"anthracothorax veraguensis","veraguan mango"
NA,"haplophaedia aureliae","greenish puffleg"
"maghum1","eugenes fulgens","rivoli's hummingbird"
NA,"eugenes spectabilis","talamanca hummingbird"
NA,"heliomaster longirostris","long-billed starthroat"
NA,"heliomaster constantii","plain-capped starthroat"
NA,"panterpe insignis","fiery-throated hummingbird"
NA,"lampornis viridipallens","green-throated mountain-gem"
NA,"lampornis sybillae","green-breasted mountain-gem"
NA,"lampornis hemileucus","white-bellied mountain-gem"
NA,"lampornis castaneoventris","white-throated mountain-gem"
NA,"lamprolaima rhami","garnet-throated hummingbird"
NA,"tilmatura dupontii","sparkling-tailed hummingbird"
NA,"philodice bryantae","magenta-throated woodstar"
"rthhum","archilochus colubris","ruby-throated hummingbird"
"brthum","selasphorus platycercus","broad-tailed hummingbird"
NA,"selasphorus ellioti","wine-throated hummingbird"
NA,"selasphorus flammula","volcano hummingbird"
NA,"selasphorus scintilla","scintillant hummingbird"
NA,"cynanthus canivetii","canivet's emerald"
NA,"basilinna leucotis","white-eared hummingbird"
NA,"pampa curvipennis","wedge-tailed sabrewing"
NA,"klais guimeti","violet-headed hummingbird"
NA,"abeillia abeillei","emerald-chinned hummingbird"
"viosab1","campylopterus hemileucurus","violet sabrewing"
NA,"chalybura urochrysia","bronze-tailed plumeleteer"
NA,"chalybura buffonii","white-vented plumeleteer"
NA,"thalurania colombica","crowned woodnymph"
NA,"eupherusa eximia","stripe-tailed hummingbird"
NA,"eupherusa nigriventris","black-bellied hummingbird"
NA,"ramosomyia viridifrons","green-fronted hummingbird"
"azchum1","saucerottia cyanocephala","azure-crowned hummingbird"
NA,"saucerottia hoffmanni","blue-vented hummingbird"
"berhum","saucerottia beryllina","berylline hummingbird"
NA,"saucerottia cyanura","blue-tailed hummingbird"
NA,"saucerottia edward","snowy-bellied hummingbird"
"cinhum1","amazilia rutila","cinnamon hummingbird"
"bubhum","amazilia yucatanensis","buff-bellied hummingbird"
"rtlhum","amazilia tzacatl","rufous-tailed hummingbird"
NA,"chrysuronia humboldtii","humboldt's sapphire"
NA,"chlorestes candida","white-bellied emerald"
NA,"chlorestes eliciae","blue-throated goldentail"
NA,"chlorestes julie","violet-bellied hummingbird"
"clarai11","rallus crepitans","clapper rail"
NA,"amaurolimnas concolor","uniform crake"
NA,"aramides albiventris","russet-naped wood-rail"
NA,"aramides cajaneus","gray-cowled wood-rail"
"sora","porzana carolina","sora"
"comgal1","gallinula galeata","common gallinule"
"y00475","fulica americana","american coot"
"purgal2","porphyrio martinica","purple gallinule"
NA,"rufirallus schomburgkii","ocellated crake"
NA,"laterallus ruber","ruddy crake"
NA,"laterallus albigularis","white-throated crake"
NA,"laterallus jamaicensis","black rail"
"limpki","aramus guarauna","limpkin"
NA,"hesperoburhinus bistriatus","double-striped thick-knee"
"bknsti","himantopus mexicanus","black-necked stilt"
"ameavo","recurvirostra americana","american avocet"
"ameoys","haematopus palliatus","american oystercatcher"
"bkbplo","pluvialis squatarola","black-bellied plover"
"amgplo","pluvialis dominica","american golden-plover"
NA,"pluvialis fulva","pacific golden-plover"
"killde","charadrius vociferus","killdeer"
"semplo","charadrius semipalmatus","semipalmated plover"
"pipplo","charadrius melodus","piping plover"
"soulap1","vanellus chilensis","southern lapwing"
"wilplo","anarhynchus wilsonia","wilson's plover"
NA,"anarhynchus collaris","collared plover"
"snoplo5","anarhynchus nivosus","snowy plover"
"norjac","jacana spinosa","northern jacana"
"watjac1","jacana jacana","wattled jacana"
"uplsan","bartramia longicauda","upland sandpiper"
"whimbr","numenius phaeopus","whimbrel"
"lobcur","numenius americanus","long-billed curlew"
"hudgod","limosa haemastica","hudsonian godwit"
"margod","limosa fedoa","marbled godwit"
"shbdow","limnodromus griseus","short-billed dowitcher"
"lobdow","limnodromus scolopaceus","long-billed dowitcher"
"wilsni1","gallinago delicata","wilson's snipe"
"wilpha","phalaropus tricolor","wilson's phalarope"
NA,"phalaropus lobatus","red-necked phalarope"
"sposan","actitis macularius","spotted sandpiper"
"solsan","tringa solitaria","solitary sandpiper"
"wantat1","tringa incana","wandering tattler"
"lesyel","tringa flavipes","lesser yellowlegs"
"willet1","tringa semipalmata","willet"
"greyel","tringa melanoleuca","greater yellowlegs"
"rudtur","arenaria interpres","ruddy turnstone"
"blktur","arenaria melanocephala","black turnstone"
"redkno","calidris canutus","red knot"
"surfbi","calidris virgata","surfbird"
NA,"calidris pugnax","ruff"
NA,"calidris acuminata","sharp-tailed sandpiper"
NA,"calidris ferruginea","curlew sandpiper"
"stisan","calidris himantopus","stilt sandpiper"
"bubsan","calidris subruficollis","buff-breasted sandpiper"
"sander","calidris alba","sanderling"
"dunlin","calidris alpina","dunlin"
"baisan","calidris bairdii","baird's sandpiper"
NA,"calidris fuscicollis","white-rumped sandpiper"
"leasan","calidris minutilla","least sandpiper"
"pecsan","calidris melanotos","pectoral sandpiper"
"wessan","calidris mauri","western sandpiper"
"semsan","calidris pusilla","semipalmated sandpiper"
NA,"stercorarius longicaudus","long-tailed jaeger"
"parjae","stercorarius parasiticus","parasitic jaeger"
"pomjae","stercorarius pomarinus","pomarine jaeger"
NA,"hydrocoloeus minutus","little gull"
"sabgul","xema sabini","sabine's gull"
"bongul","chroicocephalus philadelphia","bonaparte's gull"
NA,"leucophaeus modestus","gray gull"
"laugul","leucophaeus atricilla","laughing gull"
"fragul","leucophaeus pipixcan","franklin's gull"
"heegul","larus heermanni","heermann's gull"
"ribgul","larus delawarensis","ring-billed gull"
"wesgul","larus occidentalis","western gull"
"kelgul","larus dominicanus","kelp gull"
"hergul","larus argentatus","herring gull"
"gbbgul","larus marinus","great black-backed gull"
"lbbgul","larus fuscus","lesser black-backed gull"
"calgul","larus californicus","california gull"
"y00478","larus glaucoides","iceland gull"
"blkski","rynchops niger","black skimmer"
"leater1","sternula antillarum","least tern"
"caster1","hydroprogne caspia","caspian tern"
"blkter","chlidonias niger","black tern"
"forter","sterna forsteri","forster's tern"
"arcter","sterna paradisaea","arctic tern"
"comter","sterna hirundo","common tern"
NA,"sterna dougallii","roseate tern"
"santer1","thalasseus sandvicensis","sandwich tern"
"eleter1","thalasseus elegans","elegant tern"
"royter1","thalasseus maximus","royal tern"
"bkvshe","puffinus opisthomelas","black-vented shearwater"
NA,"ciconia maguari","maguari stork"
NA,"jabiru mycteria","jabiru"
"woosto","mycteria americana","wood stork"
"magfri","fregata magnificens","magnificent frigatebird"
"perboo1","sula variegata","peruvian booby"
"anhing","anhinga anhinga","anhinga"
"doccor","nannopterum auritum","double-crested cormorant"
"neocor","nannopterum brasilianum","neotropic cormorant"
"amwpel","pelecanus erythrorhynchos","american white pelican"
"brnpel","pelecanus occidentalis","brown pelican"
"perpel1","pelecanus thagus","peruvian pelican"
NA,"tigrisoma lineatum","rufescent tiger-heron"
"btther1","tigrisoma mexicanum","bare-throated tiger-heron"
NA,"tigrisoma fasciatum","fasciated tiger-heron"
NA,"cochlearius cochlearius","boat-billed heron"
NA,"agamia agami","agami heron"
"amebit","botaurus lentiginosus","american bittern"
"leabit","ixobrychus exilis","least bittern"
"ycnher","nyctanassa violacea","yellow-crowned night heron"
"bcnher","nycticorax nycticorax","black-crowned night heron"
NA,"syrigma sibilatrix","whistling heron"
"libher","egretta caerulea","little blue heron"
"triher","egretta tricolor","tricolored heron"
"redegr","egretta rufescens","reddish egret"
"snoegr","egretta thula","snowy egret"
NA,"butorides striata","striated heron"
"grnher","butorides virescens","green heron"
"greegr","ardea alba","great egret"
"grbher3","ardea herodias","great blue heron"
NA,"ardea cocoi","cocoi heron"
"whiibi","eudocimus albus","white ibis"
"gloibi","plegadis falcinellus","glossy ibis"
"whfibi","plegadis chihi","white-faced ibis"
NA,"mesembrinibis cayennensis","green ibis"
NA,"phimosus infuscatus","bare-faced ibis"
"rosspo1","platalea ajaja","roseate spoonbill"
"kinvul1","sarcoramphus papa","king vulture"
"blkvul","coragyps atratus","black vulture"
"turvul","cathartes aura","turkey vulture"
"lyhvul1","cathartes burrovianus","lesser yellow-headed vulture"
"osprey","pandion haliaetus","osprey"
"whtkit","elanus leucurus","white-tailed kite"
NA,"chondrohierax uncinatus","hook-billed kite"
NA,"leptodon cayanensis","gray-headed kite"
"swtkit","elanoides forficatus","swallow-tailed kite"
NA,"spizaetus tyrannus","black hawk-eagle"
NA,"spizaetus ornatus","ornate hawk-eagle"
NA,"spizaetus melanoleucus","black-and-white hawk-eagle"
"snakit","rostrhamus sociabilis","snail kite"
NA,"harpagus bidentatus","double-toothed kite"
"miskit","ictinia mississippiensis","mississippi kite"
NA,"ictinia plumbea","plumbeous kite"
NA,"circus buffoni","long-winged harrier"
"norhar2","circus hudsonius","northern harrier"
"shshaw","accipiter striatus","sharp-shinned hawk"
"coohaw","accipiter cooperii","cooper's hawk"
NA,"accipiter bicolor","bicolored hawk"
"baleag","haliaeetus leucocephalus","bald eagle"
NA,"geranospiza caerulescens","crane hawk"
NA,"cryptoleucopteryx plumbea","plumbeous hawk"
"comblh1","buteogallus anthracinus","common black hawk"
NA,"buteogallus meridionalis","savanna hawk"
NA,"buteogallus urubitinga","great black hawk"
NA,"morphnarchus princeps","barred hawk"
"roahaw","rupornis magnirostris","roadside hawk"
"hrshaw","parabuteo unicinctus","harris's hawk"
"whthaw","geranoaetus albicaudatus","white-tailed hawk"
NA,"pseudastur albicollis","white hawk"
NA,"leucopternis semiplumbeus","semiplumbeous hawk"
"gryhaw2","buteo plagiatus","gray hawk"
NA,"buteo nitidus","gray-lined hawk"
"brwhaw","buteo platypterus","broad-winged hawk"
"shthaw","buteo brachyurus","short-tailed hawk"
"swahaw","buteo swainsoni","swainson's hawk"
"zothaw","buteo albonotatus","zone-tailed hawk"
"rethaw","buteo jamaicensis","red-tailed hawk"
"brnowl","tyto alba","barn owl"
"flaowl","psiloscops flammeolus","flammulated owl"
NA,"megascops trichopsis","whiskered screech-owl"
NA,"megascops barbarus","bearded screech-owl"
NA,"megascops cooperi","pacific screech-owl"
NA,"pulsatrix perspicillata","spectacled owl"
"grhowl","bubo virginianus","great horned owl"
"nopowl","glaucidium gnoma","northern pygmy-owl"
NA,"glaucidium costaricanum","costa rican pygmy-owl"
NA,"glaucidium griseiceps","central american pygmy-owl"
"fepowl","glaucidium brasilianum","ferruginous pygmy-owl"
"burowl","athene cunicularia","burrowing owl"
NA,"strix virgata","mottled owl"
NA,"strix nigrolineata","black-and-white owl"
NA,"strix fulvescens","fulvous owl"
"sheowl","asio flammeus","short-eared owl"
NA,"aegolius ridgwayi","unspotted saw-whet owl"
NA,"pharomachrus auriceps","golden-headed quetzal"
NA,"pharomachrus mocinno","resplendent quetzal"
NA,"trogon clathratus","lattice-tailed trogon"
NA,"trogon massena","slaty-tailed trogon"
"blhtro1","trogon melanocephalus","black-headed trogon"
NA,"trogon bairdii","baird's trogon"
"gartro1","trogon caligatus","gartered trogon"
"eletro","trogon elegans","elegant trogon"
NA,"trogon mexicanus","mountain trogon"
NA,"trogon collaris","collared trogon"
NA,"hylomanes momotula","tody motmot"
NA,"aspatha gularis","blue-throated motmot"
NA,"momotus mexicanus","russet-crowned motmot"
"bucmot2","momotus lessonii","lesson's motmot"
NA,"momotus subrufescens","whooping motmot"
NA,"baryphthengus martii","rufous motmot"
NA,"electron carinatum","keel-billed motmot"
NA,"electron platyrhynchum","broad-billed motmot"
"tubmot1","eumomota superciliosa","turquoise-browed motmot"
"rinkin1","megaceryle torquata","ringed kingfisher"
"belkin1","megaceryle alcyon","belted kingfisher"
NA,"chloroceryle amazona","amazon kingfisher"
NA,"chloroceryle aenea","american pygmy kingfisher"
"grnkin","chloroceryle americana","green kingfisher"
NA,"chloroceryle inda","green-and-rufous kingfisher"
NA,"notharchus pectoralis","black-breasted puffbird"
NA,"nystalus radiatus","barred puffbird"
NA,"nonnula frontalis","gray-cheeked nunlet"
NA,"brachygalba salmoni","dusky-backed jacamar"
NA,"galbula ruficauda","rufous-tailed jacamar"
NA,"jacamerops aureus","great jacamar"
NA,"capito maculicoronatus","spot-crowned barbet"
"rehbar1","eubucco bourcierii","red-headed barbet"
NA,"semnornis frantzii","prong-billed barbet"
"noremt1","aulacorhynchus prasinus","northern emerald-toucanet"
NA,"pteroglossus torquatus","collared aracari"
NA,"selenidera spectabilis","yellow-eared toucanet"
NA,"ramphastos ambiguus","yellow-throated toucan"
"kebtou1","ramphastos sulfuratus","keel-billed toucan"
"yebsap","sphyrapicus varius","yellow-bellied sapsucker"
"acowoo","melanerpes formicivorus","acorn woodpecker"
NA,"melanerpes chrysauchen","golden-naped woodpecker"
NA,"melanerpes pucherani","black-cheeked woodpecker"
NA,"melanerpes pygmaeus","yucatan woodpecker"
"recwoo1","melanerpes rubricapillus","red-crowned woodpecker"
NA,"melanerpes hoffmannii","hoffmann's woodpecker"
"gofwoo","melanerpes aurifrons","golden-fronted woodpecker"
"labwoo","dryobates scalaris","ladder-backed woodpecker"
"haiwoo","dryobates villosus","hairy woodpecker"
NA,"dryobates fumigatus","smoky-brown woodpecker"
NA,"dryobates kirkii","red-rumped woodpecker"
NA,"campephilus melanoleucos","crimson-crested woodpecker"
NA,"campephilus guatemalensis","pale-billed woodpecker"
"linwoo1","dryocopus lineatus","lineated woodpecker"
NA,"celeus loricatus","cinnamon woodpecker"
NA,"celeus castaneus","chestnut-colored woodpecker"
NA,"piculus simplex","rufous-winged woodpecker"
NA,"piculus callopterus","stripe-cheeked woodpecker"
NA,"piculus chrysochloros","golden-green woodpecker"
NA,"colaptes rubiginosus","golden-olive woodpecker"
"norfli","colaptes auratus","northern flicker"
NA,"herpetotheres cachinnans","laughing falcon"
NA,"micrastur semitorquatus","collared forest-falcon"
NA,"micrastur mirandollei","slaty-backed forest-falcon"
NA,"micrastur ruficollis","barred forest-falcon"
"y00678","caracara plancus","crested caracara"
NA,"ibycter americanus","red-throated caracara"
"yehcar1","daptrius chimachima","yellow-headed caracara"
"amekes","falco sparverius","american kestrel"
"merlin","falco columbarius","merlin"
"aplfal","falco femoralis","aplomado falcon"
NA,"falco rufigularis","bat falcon"
"perfal","falco peregrinus","peregrine falcon"
"cockat","nymphicus hollandicus","cockatiel"
NA,"psittacula krameri","rose-ringed parakeet"
"rerpar1","psephotus haematonotus","red-rumped parrot"
"budger","melopsittacus undulatus","budgerigar"
NA,"agapornis roseicollis","rosy-faced lovebird"
NA,"touit costaricensis","red-fronted parrotlet"
NA,"bolborhynchus lineola","barred parakeet"
"monpar","myiopsitta monachus","monk parakeet"
"orcpar","brotogeris jugularis","orange-chinned parakeet"
"brhpar1","pyrilia haematotis","brown-hooded parrot"
NA,"pyrilia pyrilia","saffron-headed parrot"
"blhpar1","pionus menstruus","blue-headed parrot"
"whcpar","pionus senilis","white-crowned parrot"
"relpar","amazona autumnalis","red-lored parrot"
NA,"amazona auropalliata","yellow-naped parrot"
NA,"amazona ochrocephala","yellow-crowned parrot"
"whfpar1","amazona albifrons","white-fronted parrot"
NA,"amazona xantholora","yellow-lored parrot"
"meapar","amazona farinosa","mealy parrot"
NA,"pyrrhura picta","painted parakeet"
NA,"pyrrhura hoffmanni","sulphur-winged parakeet"
"oltpar1","eupsittula nana","olive-throated parakeet"
"orfpar","eupsittula canicularis","orange-fronted parakeet"
NA,"eupsittula pertinax","brown-throated parakeet"
"baymac","ara ararauna","blue-and-yellow macaw"
NA,"ara severus","chestnut-fronted macaw"
NA,"ara ambiguus","great green macaw"
"scamac1","ara macao","scarlet macaw"
NA,"ara chloropterus","red-and-green macaw"
"grnpar","psittacara holochlorus","green parakeet"
NA,"psittacara strenuus","pacific parakeet"
NA,"psittacara finschi","crimson-fronted parakeet"
NA,"sapayoa aenigma","sapayoa"
NA,"euchrepomis callinota","rufous-rumped antwren"
NA,"cymbilaimus lineatus","fasciated antshrike"
NA,"taraba major","great antshrike"
NA,"thamnophilus doliatus","barred antshrike"
NA,"thamnophilus atrinucha","black-crowned antshrike"
NA,"thamnophilus nigriceps","black antshrike"
NA,"thamnistes anabatinus","russet antshrike"
NA,"dysithamnus puncticeps","spot-crowned antvireo"
NA,"epinecrophylla fulviventris","checker-throated stipplethroat"
NA,"myrmotherula pacifica","pacific antwren"
NA,"myrmotherula axillaris","white-flanked antwren"
"slaant1","myrmotherula schisticolor","slaty antwren"
NA,"cercomacroides tyrannina","dusky antbird"
NA,"cercomacra nigricans","jet antbird"
NA,"gymnocichla nudiceps","bare-crowned antbird"
NA,"myrmeciza longipes","white-bellied antbird"
NA,"sipia laemosticta","dull-mantled antbird"
NA,"hafferia zeledoni","zeledon's antbird"
NA,"myrmornis torquata","wing-banded antbird"
NA,"gymnopithys bicolor","bicolored antbird"
NA,"hylophylax naevioides","spotted antbird"
NA,"phaenostictus mcleannani","ocellated antbird"
NA,"pittasoma michleri","black-crowned antpitta"
NA,"myrmothera dives","thicket antpitta"
NA,"grallaricula flavirostris","ochre-breasted antpitta"
NA,"scytalopus argentifrons","silvery-fronted tapaculo"
NA,"formicarius moniliger","mayan antthrush"
NA,"formicarius analis","black-faced antthrush"
NA,"formicarius nigricapillus","black-headed antthrush"
NA,"formicarius rufipectus","rufous-breasted antthrush"
NA,"sittasomus griseicapillus","olivaceous woodcreeper"
"rudwoo1","dendrocincla homochroa","ruddy woodcreeper"
NA,"dendrocincla fuliginosa","plain-brown woodcreeper"
NA,"glyphorynchus spirurus","wedge-billed woodcreeper"
NA,"dendrocolaptes sanctithomae","northern barred-woodcreeper"
NA,"dendrocolaptes picumnus","black-banded woodcreeper"
NA,"xiphocolaptes promeropirhynchus","strong-billed woodcreeper"
NA,"xiphorhynchus susurrans","cocoa woodcreeper"
"ivbwoo1","xiphorhynchus flavigaster","ivory-billed woodcreeper"
"spowoo1","xiphorhynchus erythropygius","spotted woodcreeper"
NA,"dendroplex picus","straight-billed woodcreeper"
NA,"campylorhamphus pusillus","brown-billed scythebill"
"sthwoo1","lepidocolaptes souleyetii","streak-headed woodcreeper"
NA,"lepidocolaptes affinis","spot-crowned woodcreeper"
NA,"xenops minutus","plain xenops"
NA,"philydor fuscipenne","slaty-winged foliage-gleaner"
NA,"clibanornis rubiginosus","ruddy foliage-gleaner"
NA,"thripadectes rufobrunneus","streak-breasted treehunter"
NA,"automolus ochrolaemus","ochre-throated foliage-gleaner"
NA,"premnoplex brunnescens","spotted barbtail"
NA,"margarornis rubiginosus","ruddy treerunner"
NA,"xenerpestes minlosi","double-banded graytail"
NA,"synallaxis albescens","pale-breasted spinetail"
NA,"synallaxis erythrothorax","rufous-breasted spinetail"
NA,"chiroxiphia lanceolata","lance-tailed manakin"
"lotman1","chiroxiphia linearis","long-tailed manakin"
NA,"corapipo altera","white-ruffed manakin"
"whcman1","manacus candei","white-collared manakin"
NA,"manacus vitellinus","golden-collared manakin"
NA,"pseudopipra pipra","white-crowned manakin"
NA,"ceratopipra mentalis","red-capped manakin"
NA,"querula purpurata","purple-throated fruitcrow"
NA,"cotinga nattererii","blue cotinga"
NA,"lipaugus unirufus","rufous piha"
NA,"procnias tricarunculatus","three-wattled bellbird"
NA,"carpodectes hopkei","black-tipped cotinga"
NA,"carpodectes nitidus","snowy cotinga"
NA,"tityra inquisitor","black-crowned tityra"
NA,"tityra semifasciata","masked tityra"
NA,"schiffornis veraepacis","northern schiffornis"
NA,"schiffornis stenorhyncha","russet-winged schiffornis"
NA,"pachyramphus cinnamomeus","cinnamon becard"
NA,"pachyramphus polychopterus","white-winged becard"
NA,"pachyramphus major","gray-collared becard"
"rotbec","pachyramphus aglaiae","rose-throated becard"
NA,"onychorhynchus coronatus","tropical royal flycatcher"
NA,"terenotriccus erythrurus","ruddy-tailed flycatcher"
NA,"myiobius villosus","tawny-breasted flycatcher"
NA,"myiobius sulphureipygius","sulphur-rumped flycatcher"
NA,"platyrinchus cancrominus","stub-tailed spadebill"
NA,"platyrinchus coronatus","golden-crowned spadebill"
NA,"mionectes galbinus","olive-striped flycatcher"
NA,"mionectes oleagineus","ochre-bellied flycatcher"
NA,"leptopogon amaurocephalus","sepia-capped flycatcher"
NA,"leptopogon superciliaris","slaty-capped flycatcher"
NA,"pseudotriccus pelzelni","bronze-olive pygmy-tyrant"
NA,"myiornis atricapillus","black-capped pygmy-tyrant"
NA,"lophotriccus pileatus","scale-crested pygmy-tyrant"
NA,"oncostoma cinereigulare","northern bentbill"
NA,"poecilotriccus sylvia","slate-headed tody-flycatcher"
NA,"todirostrum cinereum","common tody-flycatcher"
NA,"todirostrum nigriceps","black-headed tody-flycatcher"
NA,"cnipodectes subbrunneus","brownish twistwing"
NA,"rhynchocyclus brevirostris","eye-ringed flatbill"
NA,"tolmomyias sulphurescens","yellow-olive flatbill"
NA,"ornithion brunneicapillus","brown-capped tyrannulet"
"nobtyr","camptostoma imberbe","northern beardless-tyrannulet"
NA,"camptostoma obsoletum","southern beardless-tyrannulet"
NA,"capsiempis flaveola","yellow tyrannulet"
NA,"tyrannulus elatus","yellow-crowned tyrannulet"
NA,"myiopagis gaimardii","forest elaenia"
NA,"myiopagis viridicata","greenish elaenia"
"yebela1","elaenia flavogaster","yellow-bellied elaenia"
"mouela1","elaenia frantzii","mountain elaenia"
"carela1","elaenia martinica","caribbean elaenia"
"paltyr3","zimmerius parvus","mistletoe tyrannulet"
NA,"myiophobus fasciatus","bran-colored flycatcher"
NA,"aphanotriccus audax","black-billed flycatcher"
NA,"mitrephanes phaeocercus","tufted flycatcher"
"olsfly","contopus cooperi","olive-sided flycatcher"
"grepew","contopus pertinax","greater pewee"
NA,"contopus lugubris","dark pewee"
"wewpew","contopus sordidulus","western wood-pewee"
"eawpew","contopus virens","eastern wood-pewee"
"yebfly","empidonax flaviventris","yellow-bellied flycatcher"
"acafly","empidonax virescens","acadian flycatcher"
