"code","scientific_name","common_name"
"speeid","somateria fischeri","spectacled eider"
"kineid","somateria spectabilis","king eider"
"comeid","somateria mollissima","common eider"
"harduc","histrionicus histrionicus","harlequin duck"
"sursco","melanitta perspicillata","surf scoter"
"whwsco2","melanitta deglandi","white-winged scoter"
"blksco2","melanitta americana","black scoter"
"lotduc","clangula hyemalis","long-tailed duck"
"buffle","bucephala albeola","bufflehead"
"comgol","bucephala clangula","common goldeneye"
"bargol","bucephala islandica","barrow's goldeneye"
"hoomer","lophodytes cucullatus","hooded merganser"
"commer","mergus merganser","common merganser"
"rebmer","mergus serrator","red-breasted merganser"
"rudduc","oxyura jamaicensis","ruddy duck"
"placha","ortalis vetula","plain chachalaca"
"grhcha1","ortalis cinereiceps","gray-headed chachalaca"
"cregua1","penelope purpurascens","crested guan"
"mouqua","oreortyx pictus","mountain quail"
"norbob","colinus virginianus","northern bobwhite"
"scaqua","callipepla squamata","scaled quail"
"calqua","callipepla californica","california quail"
"gamqua","callipepla gambelii","gambel's quail"
"monqua","cyrtonyx montezumae","montezuma quail"
"spwqua1","odontophorus guttatus","spotted wood-quail"
"wiltur","meleagris gallopavo","wild turkey"
"ocetur1","meleagris ocellata","ocellated turkey"
"rufgro","bonasa umbellus","ruffed grouse"
"saggro","centrocercus urophasianus","greater sage-grouse"
"gusgro","centrocercus minimus","gunnison sage-grouse"
"dusgro","dendragapus obscurus","dusky grouse"
"soogro1","dendragapus fuliginosus","sooty grouse"
"shtgro","tympanuchus phasianellus","sharp-tailed grouse"
"grpchi","tympanuchus cupido","greater prairie-chicken"
"wilpta","lagopus lagopus","willow ptarmigan"
"sprgro","canachites canadensis","spruce grouse"
"grypar","perdix perdix","gray partridge"
"rinphe1","phasianus colchicus","ring-necked pheasant"
"compea","pavo cristatus","indian peafowl"
"relpar1","alectoris rufa","red-legged partridge"
"chukar","alectoris chukar","chukar"
"chifla1","phoenicopterus chilensis","chilean flamingo"
"grefla2","phoenicopterus ruber","american flamingo"
"leagre","tachybaptus dominicus","least grebe"
"pibgre","podilymbus podiceps","pied-billed grebe"
"horgre","podiceps auritus","horned grebe"
"rengre","podiceps grisegena","red-necked grebe"
"eargre","podiceps nigricollis","eared grebe"
"wesgre","aechmophorus occidentalis","western grebe"
"clagre","aechmophorus clarkii","clark's grebe"
"rocpig","columba livia","rock pigeon"
"spepig1","columba guinea","speckled pigeon"
"cowpig1","columba palumbus","common wood-pigeon"
"scnpig1","patagioenas squamosa","scaly-naped pigeon"
"whcpig2","patagioenas leucocephala","white-crowned pigeon"
"rebpig1","patagioenas flavirostris","red-billed pigeon"
"batpig1","patagioenas fasciata","band-tailed pigeon"
"shbpig","patagioenas nigrirostris","short-billed pigeon"
"ortdov","streptopelia orientalis","oriental turtle-dove"
"eucdov","streptopelia decaocto","eurasian collared-dove"
"rindov","streptopelia capicola","ring-necked dove"
"spodov","spilopelia chinensis","spotted dove"
"crepig1","ocyphaps lophotes","crested pigeon"
"incdov","columbina inca","inca dove"
"cogdov","columbina passerina","common ground dove"
"rugdov","columbina talpacoti","ruddy ground dove"
"whtdov","leptotila verreauxi","white-tipped dove"
"whwdov","zenaida asiatica","white-winged dove"
"zendov","zenaida aurita","zenaida dove"
"eardov1","zenaida auriculata","eared dove"
"moudov","zenaida macroura","mourning dove"
"greani1","crotophaga major","greater ani"
"smbani","crotophaga ani","smooth-billed ani"
"grbani","crotophaga sulcirostris","groove-billed ani"
"greroa","geococcyx californianus","greater roadrunner"
"yebcuc","coccyzus americanus","yellow-billed cuckoo"
"mancuc","coccyzus minor","mangrove cuckoo"
"bkbcuc","coccyzus erythropthalmus","black-billed cuckoo"
"lesnig","chordeiles acutipennis","lesser nighthawk"
"comnig","chordeiles minor","common nighthawk"
"antnig","chordeiles gundlachii","antillean nighthawk"
"compau","nyctidromus albicollis","common pauraque"
"compoo","phalaenoptilus nuttallii","common poorwill"
"chwwid","antrostomus carolinensis","chuck-will's-widow"
"easwpw1","antrostomus vociferus","eastern whip-poor-will"
"blkswi","cypseloides niger","black swift"
"chiswi","chaetura pelagica","chimney swift"
"vauswi","chaetura vauxi","vaux's swift"
"whtswi","aeronautes saxatalis","white-throated swift"
"gnbman","anthracothorax prevostii","green-breasted mango"
"maghum1","eugenes fulgens","rivoli's hummingbird"
"buthum","lampornis clemenciae","blue-throated mountain-gem"
"rthhum","archilochus colubris","ruby-throated hummingbird"
"bkchum","archilochus alexandri","black-chinned hummingbird"
"annhum","calypte anna","anna's hummingbird"
"coshum","calypte costae","costa's hummingbird"
"calhum","selasphorus calliope","calliope hummingbird"
"rufhum","selasphorus rufus","rufous hummingbird"
"allhum","selasphorus sasin","allen's hummingbird"
"brthum","selasphorus platycercus","broad-tailed hummingbird"
"brbhum","cynanthus latirostris","broad-billed hummingbird"
"viosab1","campylopterus hemileucurus","violet sabrewing"
"vichum","ramosomyia violiceps","violet-crowned hummingbird"
"azchum1","saucerottia cyanocephala","azure-crowned hummingbird"
"berhum","saucerottia beryllina","berylline hummingbird"
"cinhum1","amazilia rutila","cinnamon hummingbird"
"bubhum","amazilia yucatanensis","buff-bellied hummingbird"
"rtlhum","amazilia tzacatl","rufous-tailed hummingbird"
"ridrai1","rallus obsoletus","ridgway's rail"
"kinrai4","rallus elegans","king rail"
"clarai11","rallus crepitans","clapper rail"
"virrai","rallus limicola","virginia rail"
"sora","porzana carolina","sora"
"comgal1","gallinula galeata","common gallinule"
"y00475","fulica americana","american coot"
"purgal2","porphyrio martinica","purple gallinule"
"purswa3","porphyrio poliocephalus","gray-headed swamphen"
"limpki","aramus guarauna","limpkin"
"sancra","antigone canadensis","sandhill crane"
"bknsti","himantopus mexicanus","black-necked stilt"
"ameavo","recurvirostra americana","american avocet"
"euroys1","haematopus ostralegus","eurasian oystercatcher"
"ameoys","haematopus palliatus","american oystercatcher"
"blkoys","haematopus bachmani","black oystercatcher"
"bkbplo","pluvialis squatarola","black-bellied plover"
"eugplo","pluvialis apricaria","european golden-plover"
"amgplo","pluvialis dominica","american golden-plover"
"killde","charadrius vociferus","killdeer"
"semplo","charadrius semipalmatus","semipalmated plover"
"pipplo","charadrius melodus","piping plover"
"lirplo","charadrius dubius","little ringed plover"
"norlap","vanellus vanellus","northern lapwing"
"soulap1","vanellus chilensis","southern lapwing"
"wilplo","anarhynchus wilsonia","wilson's plover"
"snoplo5","anarhynchus nivosus","snowy plover"
"norjac","jacana spinosa","northern jacana"
"watjac1","jacana jacana","wattled jacana"
"uplsan","bartramia longicauda","upland sandpiper"
"brtcur","numenius tahitiensis","bristle-thighed curlew"
"whimbr","numenius phaeopus","whimbrel"
"lobcur","numenius americanus","long-billed curlew"
"batgod","limosa lapponica","bar-tailed godwit"
"hudgod","limosa haemastica","hudsonian godwit"
"margod","limosa fedoa","marbled godwit"
"shbdow","limnodromus griseus","short-billed dowitcher"
"lobdow","limnodromus scolopaceus","long-billed dowitcher"
"amewoo","scolopax minor","american woodcock"
"wilsni1","gallinago delicata","wilson's snipe"
"wilpha","phalaropus tricolor","wilson's phalarope"
"comsan","actitis hypoleucos","common sandpiper"
"sposan","actitis macularius","spotted sandpiper"
"solsan","tringa solitaria","solitary sandpiper"
"wantat1","tringa incana","wandering tattler"
"comred1","tringa totanus","common redshank"
"lesyel","tringa flavipes","lesser yellowlegs"
"willet1","tringa semipalmata","willet"
"greyel","tringa melanoleuca","greater yellowlegs"
"rudtur","arenaria interpres","ruddy turnstone"
"blktur","arenaria melanocephala","black turnstone"
"redkno","calidris canutus","red knot"
"surfbi","calidris virgata","surfbird"
"stisan","calidris himantopus","stilt sandpiper"
"bubsan","calidris subruficollis","buff-breasted sandpiper"
"sander","calidris alba","sanderling"
"dunlin","calidris alpina","dunlin"
"pursan","calidris maritima","purple sandpiper"
"rocsan","calidris ptilocnemis","rock sandpiper"
"baisan","calidris bairdii","baird's sandpiper"
"leasan","calidris minutilla","least sandpiper"
"pecsan","calidris melanotos","pectoral sandpiper"
"wessan","calidris mauri","western sandpiper"
"semsan","calidris pusilla","semipalmated sandpiper"
"parjae","stercorarius parasiticus","parasitic jaeger"
"pomjae","stercorarius pomarinus","pomarine jaeger"
"marmur","brachyramphus marmoratus","marbled murrelet"
"piggui","cepphus columba","pigeon guillemot"
"sabgul","xema sabini","sabine's gull"
"bongul","chroicocephalus philadelphia","bonaparte's gull"
"silgul2","chroicocephalus novaehollandiae","silver gull"
"laugul","leucophaeus atricilla","laughing gull"
"fragul","leucophaeus pipixcan","franklin's gull"
"heegul","larus heermanni","heermann's gull"
"mewgul2","larus brachyrhynchus","short-billed gull"
"ribgul","larus delawarensis","ring-billed gull"
"wesgul","larus occidentalis","western gull"
"kelgul","larus dominicanus","kelp gull"
"hergul","larus argentatus","herring gull"
"yelgul1","larus michahellis","yellow-legged gull"
"gbbgul","larus marinus","great black-backed gull"
"glagul","larus hyperboreus","glaucous gull"
"lbbgul","larus fuscus","lesser black-backed gull"
"calgul","larus californicus","california gull"
"glwgul","larus glaucescens","glaucous-winged gull"
"y00478","larus glaucoides","iceland gull"
"blkski","rynchops niger","black skimmer"
"aleter1","onychoprion aleuticus","aleutian tern"
"leater1","sternula antillarum","least tern"
"caster1","hydroprogne caspia","caspian tern"
"blkter","chlidonias niger","black tern"
"forter","sterna forsteri","forster's tern"
"arcter","sterna paradisaea","arctic tern"
"comter","sterna hirundo","common tern"
"santer1","thalasseus sandvicensis","sandwich tern"
"eleter1","thalasseus elegans","elegant tern"
"royter1","thalasseus maximus","royal tern"
"retloo","gavia stellata","red-throated loon"
"pacloo","gavia pacifica","pacific loon"
"comloo","gavia immer","common loon"
"bkvshe","puffinus opisthomelas","black-vented shearwater"
"woosto","mycteria americana","wood stork"
"magfri","fregata magnificens","magnificent frigatebird"
"norgan","morus bassanus","northern gannet"
"perboo1","sula variegata","peruvian booby"
"anhing","anhinga anhinga","anhinga"
"bracor","urile penicillatus","brandt's cormorant"
"pelcor","urile pelagicus","pelagic cormorant"
"grecor","phalacrocorax carbo","great cormorant"
"doccor","nannopterum auritum","double-crested cormorant"
"neocor","nannopterum brasilianum","neotropic cormorant"
"amwpel","pelecanus erythrorhynchos","american white pelican"
"brnpel","pelecanus occidentalis","brown pelican"
"perpel1","pelecanus thagus","peruvian pelican"
"btther1","tigrisoma mexicanum","bare-throated tiger-heron"
"amebit","botaurus lentiginosus","american bittern"
"leabit","ixobrychus exilis","least bittern"
"ycnher","nyctanassa violacea","yellow-crowned night heron"
"bcnher","nycticorax nycticorax","black-crowned night heron"
"libher","egretta caerulea","little blue heron"
"triher","egretta tricolor","tricolored heron"
"redegr","egretta rufescens","reddish egret"
"snoegr","egretta thula","snowy egret"
"grnher","butorides virescens","green heron"
"greegr","ardea alba","great egret"
"grbher3","ardea herodias","great blue heron"
"whiibi","eudocimus albus","white ibis"
"gloibi","plegadis falcinellus","glossy ibis"
"whfibi","plegadis chihi","white-faced ibis"
"rosspo1","platalea ajaja","roseate spoonbill"
"kinvul1","sarcoramphus papa","king vulture"
"blkvul","coragyps atratus","black vulture"
"turvul","cathartes aura","turkey vulture"
"lyhvul1","cathartes burrovianus","lesser yellow-headed vulture"
"osprey","pandion haliaetus","osprey"
"whtkit","elanus leucurus","white-tailed kite"
"swtkit","elanoides forficatus","swallow-tailed kite"
"goleag","aquila chrysaetos","golden eagle"
"snakit","rostrhamus sociabilis","snail kite"
"miskit","ictinia mississippiensis","mississippi kite"
"norhar2","circus hudsonius","northern harrier"
"shshaw","accipiter striatus","sharp-shinned hawk"
"coohaw","accipiter cooperii","cooper's hawk"
"norgos","accipiter atricapillus","american goshawk"
"blakit1","milvus migrans","black kite"
"baleag","haliaeetus leucocephalus","bald eagle"
"comblh1","buteogallus anthracinus","common black hawk"
"roahaw","rupornis magnirostris","roadside hawk"
"hrshaw","parabuteo unicinctus","harris's hawk"
"whthaw","geranoaetus albicaudatus","white-tailed hawk"
"rebhaw2","geranoaetus polyosoma","variable hawk"
"gryhaw2","buteo plagiatus","gray hawk"
"reshaw","buteo lineatus","red-shouldered hawk"
"brwhaw","buteo platypterus","broad-winged hawk"
"shthaw","buteo brachyurus","short-tailed hawk"
"swahaw","buteo swainsoni","swainson's hawk"
"zothaw","buteo albonotatus","zone-tailed hawk"
"rethaw","buteo jamaicensis","red-tailed hawk"
"rolhaw","buteo lagopus","rough-legged hawk"
"ferhaw","buteo regalis","ferruginous hawk"
"brnowl","tyto alba","barn owl"
"flaowl","psiloscops flammeolus","flammulated owl"
"wesowl1","megascops kennicottii","western screech-owl"
"easowl1","megascops asio","eastern screech-owl"
"snoowl1","bubo scandiacus","snowy owl"
"grhowl","bubo virginianus","great horned owl"
"nohowl","surnia ulula","northern hawk owl"
"nopowl","glaucidium gnoma","northern pygmy-owl"
"fepowl","glaucidium brasilianum","ferruginous pygmy-owl"
"burowl","athene cunicularia","burrowing owl"
"spoowl","strix occidentalis","spotted owl"
"brdowl","strix varia","barred owl"
"loeowl","asio otus","long-eared owl"
"sheowl","asio flammeus","short-eared owl"
"nswowl","aegolius acadicus","northern saw-whet owl"
"blhtro1","trogon melanocephalus","black-headed trogon"
"gartro1","trogon caligatus","gartered trogon"
"eletro","trogon elegans","elegant trogon"
"bucmot2","momotus lessonii","lesson's motmot"
"tubmot1","eumomota superciliosa","turquoise-browed motmot"
"comkin1","alcedo atthis","common kingfisher"
"laukoo1","dacelo novaeguineae","laughing kookaburra"
"rinkin1","megaceryle torquata","ringed kingfisher"
"belkin1","megaceryle alcyon","belted kingfisher"
"grnkin","chloroceryle americana","green kingfisher"
"eubeat1","merops apiaster","european bee-eater"
"rehbar1","eubucco bourcierii","red-headed barbet"
"noremt1","aulacorhynchus prasinus","northern emerald-toucanet"
"kebtou1","ramphastos sulfuratus","keel-billed toucan"
"wilsap","sphyrapicus thyroideus","williamson's sapsucker"
"yebsap","sphyrapicus varius","yellow-bellied sapsucker"
"rensap","sphyrapicus nuchalis","red-naped sapsucker"
"rebsap","sphyrapicus ruber","red-breasted sapsucker"
"lewwoo","melanerpes lewis","lewis's woodpecker"
"rehwoo","melanerpes erythrocephalus","red-headed woodpecker"
"acowoo","melanerpes formicivorus","acorn woodpecker"
"gocwoo1","melanerpes chrysogenys","golden-cheeked woodpecker"
"recwoo1","melanerpes rubricapillus","red-crowned woodpecker"
"gilwoo","melanerpes uropygialis","gila woodpecker"
"gofwoo","melanerpes aurifrons","golden-fronted woodpecker"
"rebwoo","melanerpes carolinus","red-bellied woodpecker"
"attwoo1","picoides dorsalis","american three-toed woodpecker"
"bkbwoo","picoides arcticus","black-backed woodpecker"
"dowwoo","dryobates pubescens","downy woodpecker"
"nutwoo","dryobates nuttallii","nuttall's woodpecker"
"labwoo","dryobates scalaris","ladder-backed woodpecker"
"recwoo","dryobates borealis","red-cockaded woodpecker"
"haiwoo","dryobates villosus","hairy woodpecker"
"whhwoo","dryobates albolarvatus","white-headed woodpecker"
"ariwoo","dryobates arizonae","arizona woodpecker"
"linwoo1","dryocopus lineatus","lineated woodpecker"
"pilwoo","dryocopus pileatus","pileated woodpecker"
"norfli","colaptes auratus","northern flicker"
"gilfli","colaptes chrysoides","gilded flicker"
"y00678","caracara plancus","crested caracara"
"yehcar1","daptrius chimachima","yellow-headed caracara"
"eurkes","falco tinnunculus","eurasian kestrel"
"amekes","falco sparverius","american kestrel"
"merlin","falco columbarius","merlin"
"aplfal","falco femoralis","aplomado falcon"
"perfal","falco peregrinus","peregrine falcon"
"prafal","falco mexicanus","prairie falcon"
"cockat","nymphicus hollandicus","cockatiel"
"galah","eolophus roseicapilla","galah"
"litcor2","cacatua sanguinea","little corella"
"succoc","cacatua galerita","sulphur-crested cockatoo"
"alepar2","psittacula eupatria","alexandrine parakeet"
"plhpar1","psittacula cyanocephala","plum-headed parakeet"
"criros2","platycercus elegans","crimson rosella"
"easros1","platycercus eximius","eastern rosella"
"rerpar1","psephotus haematonotus","red-rumped parrot"
"budger","melopsittacus undulatus","budgerigar"
"litlor1","parvipsitta pusilla","little lorikeet"
"railor5","trichoglossus moluccanus","rainbow lorikeet"
"monpar","myiopsitta monachus","monk parakeet"
"whwpar","brotogeris versicolurus","white-winged parakeet"
"yecpar","brotogeris chiriri","yellow-chevroned parakeet"
"orcpar","brotogeris jugularis","orange-chinned parakeet"
"brhpar1","pyrilia haematotis","brown-hooded parrot"
"blhpar1","pionus menstruus","blue-headed parrot"
"whcpar","pionus senilis","white-crowned parrot"
"relpar","amazona autumnalis","red-lored parrot"
"whfpar1","amazona albifrons","white-fronted parrot"
"meapar","amazona farinosa","mealy parrot"
"oltpar1","eupsittula nana","olive-throated parakeet"
"orfpar","eupsittula canicularis","orange-fronted parakeet"
"bkhpar","aratinga nenday","nanday parakeet"
"baymac","ara ararauna","blue-and-yellow macaw"
"scamac1","ara macao","scarlet macaw"
"grnpar","psittacara holochlorus","green parakeet"
"slaant1","myrmotherula schisticolor","slaty antwren"
"rudwoo1","dendrocincla homochroa","ruddy woodcreeper"
"ivbwoo1","xiphorhynchus flavigaster","ivory-billed woodcreeper"
"spowoo1","xiphorhynchus erythropygius","spotted woodcreeper"
"sthwoo1","lepidocolaptes souleyetii","streak-headed woodcreeper"
"lotman1","chiroxiphia linearis","long-tailed manakin"
"whcman1","manacus candei","white-collared manakin"
"rotbec","pachyramphus aglaiae","rose-throated becard"
"nobtyr","camptostoma imberbe","northern beardless-tyrannulet"
"yebela1","elaenia flavogaster","yellow-bellied elaenia"
"whcela1","elaenia albiceps","white-crested elaenia"
"mouela1","elaenia frantzii","mountain elaenia"
"carela1","elaenia martinica","caribbean elaenia"
"paltyr3","zimmerius parvus","mistletoe tyrannulet"
"olsfly","contopus cooperi","olive-sided flycatcher"
"grepew","contopus pertinax","greater pewee"
"wewpew","contopus sordidulus","western wood-pewee"
"eawpew","contopus virens","eastern wood-pewee"
"yebfly","empidonax flaviventris","yellow-bellied flycatcher"
"acafly","empidonax virescens","acadian flycatcher"
"aldfly","empidonax alnorum","alder flycatcher"
"wilfly","empidonax traillii","willow flycatcher"
"leafly","empidonax minimus","least flycatcher"
"hamfly","empidonax hammondii","hammond's flycatcher"
"gryfly","empidonax wrightii","gray flycatcher"
"dusfly","empidonax oberholseri","dusky flycatcher"
"wesfly","empidonax difficilis","western flycatcher"
"blkpho","sayornis nigricans","black phoebe"
"easpho","sayornis phoebe","eastern phoebe"
"saypho","sayornis saya","say's phoebe"
"verfly","pyrocephalus rubinus","vermilion flycatcher"
"ducfly","myiarchus tuberculifer","dusky-capped flycatcher"
"astfly","myiarchus cinerascens","ash-throated flycatcher"
"grcfly","myiarchus crinitus","great crested flycatcher"
"bncfly","myiarchus tyrannulus","brown-crested flycatcher"
"grekis","pitangus sulphuratus","great kiskadee"
"socfly1","myiozetetes similis","social flycatcher"
"strfly1","myiodynastes maculatus","streaked flycatcher"
"subfly","myiodynastes luteiventris","sulphur-bellied flycatcher"
"trokin","tyrannus melancholicus","tropical kingbird"
"coukin","tyrannus couchii","couch's kingbird"
"caskin","tyrannus vociferans","cassin's kingbird"
"thbkin","tyrannus crassirostris","thick-billed kingbird"
"weskin","tyrannus verticalis","western kingbird"
"easkin","tyrannus tyrannus","eastern kingbird"
"grykin","tyrannus dominicensis","gray kingbird"
"sctfly","tyrannus forficatus","scissor-tailed flycatcher"
"fotfly","tyrannus savana","fork-tailed flycatcher"
"lesgre1","pachysylvia decurtata","lesser greenlet"
"bkcvir1","vireo atricapilla","black-capped vireo"
"whevir","vireo griseus","white-eyed vireo"
"belvir","vireo bellii","bell's vireo"
"gryvir","vireo vicinior","gray vireo"
"hutvir","vireo huttoni","hutton's vireo"
"yetvir","vireo flavifrons","yellow-throated vireo"
"casvir","vireo cassinii","cassin's vireo"
"buhvir","vireo solitarius","blue-headed vireo"
"plsvir","vireo plumbeus","plumbeous vireo"
"phivir","vireo philadelphicus","philadelphia vireo"
"warvir","vireo gilvus","warbling vireo"
"reevir1","vireo olivaceus","red-eyed vireo"
"bkwvir","vireo altiloquus","black-whiskered vireo"
"rebshr1","lanius collurio","red-backed shrike"
"brnshr","lanius cristatus","brown shrike"
"logshr","lanius ludovicianus","loggerhead shrike"
"norshr4","lanius borealis","northern shrike"
"gryjay","perisoreus canadensis","canada jay"
"wtmjay1","calocitta formosa","white-throated magpie-jay"
"brnjay","psilorhinus morio","brown jay"
"blcjay1","cyanocorax affinis","black-chested jay"
"grnjay","cyanocorax yncas","green jay"
"pinjay","gymnorhinus cyanocephalus","pinyon jay"
"stejay","cyanocitta stelleri","steller's jay"
"blujay","cyanocitta cristata","blue jay"
"flsjay","aphelocoma coerulescens","florida scrub-jay"
"cowscj1","aphelocoma californica","california scrub-jay"
"wooscj2","aphelocoma woodhouseii","woodhouse's scrub-jay"
"mexjay4","aphelocoma wollweberi","mexican jay"
"eurjay1","garrulus glandarius","eurasian jay"
"eurmag1","pica pica","eurasian magpie"
"bkbmag1","pica hudsonia","black-billed magpie"
"yebmag","pica nuttalli","yellow-billed magpie"
"clanut","nucifraga columbiana","clark's nutcracker"
"houcro1","corvus splendens","house crow"
"amecro","corvus brachyrhynchos","american crow"
"fiscro","corvus ossifragus","fish crow"
"chirav","corvus cryptoleucus","chihuahuan raven"
"comrav","corvus corax","common raven"
"carchi","poecile carolinensis","carolina chickadee"
"bkcchi","poecile atricapillus","black-capped chickadee"
"mouchi","poecile gambeli","mountain chickadee"
"mexchi","poecile sclateri","mexican chickadee"
"chbchi","poecile rufescens","chestnut-backed chickadee"
"borchi2","poecile hudsonicus","boreal chickadee"
"blutit","cyanistes caeruleus","eurasian blue tit"
"britit","baeolophus wollweberi","bridled titmouse"
"oaktit","baeolophus inornatus","oak titmouse"
"juntit1","baeolophus ridgwayi","juniper titmouse"
"tuftit","baeolophus bicolor","tufted titmouse"
"blctit4","baeolophus atricristatus","black-crested titmouse"
"gretit1","parus major","great tit"
"gretit4","parus minor","japanese tit"
"verdin","auriparus flaviceps","verdin"
"horlar","eremophila alpestris","horned lark"
"blrwar1","acrocephalus dumetorum","blyth's reed warbler"
"banswa","riparia riparia","bank swallow"
"treswa","tachycineta bicolor","tree swallow"
"manswa1","tachycineta albilinea","mangrove swallow"
"vigswa","tachycineta thalassina","violet-green swallow"
"purmar","progne subis","purple martin"
"brcmar1","progne tapera","brown-chested martin"
"nrwswa","stelgidopteryx serripennis","northern rough-winged swallow"
"bawswa1","pygochelidon cyanoleuca","blue-and-white swallow"
"barswa","hirundo rustica","barn swallow"
"cliswa","petrochelidon pyrrhonota","cliff swallow"
"cavswa","petrochelidon fulva","cave swallow"
"revbul","pycnonotus cafer","red-vented bulbul"
"wlwwar","phylloscopus trochilus","willow warbler"
"comchi1","phylloscopus collybita","common chiffchaff"
"bushti","psaltriparus minimus","bushtit"
"leswhi4","curruca curruca","lesser whitethroat"
"wrenti","chamaea fasciata","wrentit"
"reblei","leiothrix lutea","red-billed leiothrix"
"ruckin","corthylio calendula","ruby-crowned kinglet"
"gockin","regulus satrapa","golden-crowned kinglet"
"whbnut","sitta carolinensis","white-breasted nuthatch"
"pygnut","sitta pygmaea","pygmy nuthatch"
"bnhnut","sitta pusilla","brown-headed nuthatch"
"rebnut","sitta canadensis","red-breasted nuthatch"
"brncre","certhia americana","brown creeper"
"buggna","polioptila caerulea","blue-gray gnatcatcher"
"bktgna","polioptila melanura","black-tailed gnatcatcher"
"calgna","polioptila californica","california gnatcatcher"
"rocwre","salpinctes obsoletus","rock wren"
"canwre","catherpes mexicanus","canyon wren"
"houwre","troglodytes aedon","house wren"
"pacwre1","troglodytes pacificus","pacific wren"
"winwre3","troglodytes hiemalis","winter wren"
"sedwre1","cistothorus stellaris","sedge wren"
"sedwre","cistothorus platensis","grass wren"
"marwre","cistothorus palustris","marsh wren"
"carwre","thryothorus ludovicianus","carolina wren"
"bewwre","thryomanes bewickii","bewick's wren"
"runwre1","campylorhynchus rufinucha","rufous-naped wren"
"cacwre","campylorhynchus brunneicapillus","cactus wren"
"rubwre1","pheugopedius rutilus","rufous-breasted wren"
"spbwre1","pheugopedius maculipectus","spot-breasted wren"
"banwre1","thryophilus pleurostictus","banded wren"
"rawwre1","thryophilus rufalbus","rufous-and-white wren"
"plawre1","cantorchilus modestus","cabanis's wren"
"gbwwre1","henicorhina leucophrys","gray-breasted wood-wren"
"amedip","cinclus mexicanus","american dipper"
"hilmyn","gracula religiosa","common hill myna"
"eursta","sturnus vulgaris","european starling"
"brasta1","sturnia pagodarum","brahminy starling"
"commyn","acridotheres tristis","common myna"
"blumoc","melanotis caerulescens","blue mockingbird"
"grycat","dumetella carolinensis","gray catbird"
"cubthr","toxostoma curvirostre","curve-billed thrasher"
"brnthr","toxostoma rufum","brown thrasher"
"lobthr","toxostoma longirostre","long-billed thrasher"
"benthr","toxostoma bendirei","bendire's thrasher"
"calthr","toxostoma redivivum","california thrasher"
"lecthr","toxostoma lecontei","leconte's thrasher"
"crithr","toxostoma crissale","crissal thrasher"
"sagthr","oreoscoptes montanus","sage thrasher"
"lotmoc1","mimus longicaudatus","long-tailed mockingbird"
"tromoc","mimus gilvus","tropical mockingbird"
"normoc","mimus polyglottos","northern mockingbird"
"easblu","sialia sialis","eastern bluebird"
"wesblu","sialia mexicana","western bluebird"
"moublu","sialia currucoides","mountain bluebird"
"towsol","myadestes townsendi","townsend's solitaire"
"brbsol1","myadestes occidentalis","brown-backed solitaire"
"varthr","ixoreus naevius","varied thrush"
"veery","catharus fuscescens","veery"
"gycthr","catharus minimus","gray-cheeked thrush"
"bicthr","catharus bicknelli","bicknell's thrush"
"swathr","catharus ustulatus","swainson's thrush"
"herthr","catharus guttatus","hermit thrush"
"woothr","hylocichla mustelina","wood thrush"
"eurbla","turdus merula","eurasian blackbird"
"clcrob","turdus grayi","clay-colored thrush"
"amerob","turdus migratorius","american robin"
