"code","scientific_name","common_name"
"rugdov","columbina talpacoti","ruddy ground dove"
"moudov","zenaida macroura","mourning dove"
"yebcuc","coccyzus americanus","yellow-billed cuckoo"
"bkbcuc","coccyzus erythropthalmus","black-billed cuckoo"
"comnig","chordeiles minor","common nighthawk"
"chiswi","chaetura pelagica","chimney swift"
"sora","porzana carolina","sora"
"y00475","fulica americana","american coot"
"purgal2","porphyrio martinica","purple gallinule"
"purswa3","porphyrio poliocephalus","gray-headed swamphen"
"sancra","antigone canadensis","sandhill crane"
"bknsti","himantopus mexicanus","black-necked stilt"
"euroys1","haematopus ostralegus","eurasian oystercatcher"
"bkbplo","pluvialis squatarola","black-bellied plover"
"eugplo","pluvialis apricaria","european golden-plover"
"amgplo","pluvialis dominica","american golden-plover"
"killde","charadrius vociferus","killdeer"
"semplo","charadrius semipalmatus","semipalmated plover"
"lirplo","charadrius dubius","little ringed plover"
"norlap","vanellus vanellus","northern lapwing"
"blaplo1","vanellus armatus","blacksmith lapwing"
"rewlap1","vanellus indicus","red-wattled lapwing"
"maslap1","vanellus miles","masked lapwing"
"watjac1","jacana jacana","wattled jacana"
"uplsan","bartramia longicauda","upland sandpiper"
"whimbr","numenius phaeopus","whimbrel"
"batgod","limosa lapponica","bar-tailed godwit"
"hudgod","limosa haemastica","hudsonian godwit"
"shbdow","limnodromus griseus","short-billed dowitcher"
"lobdow","limnodromus scolopaceus","long-billed dowitcher"
"wilsni1","gallinago delicata","wilson's snipe"
"wilpha","phalaropus tricolor","wilson's phalarope"
"comsan","actitis hypoleucos","common sandpiper"
"sposan","actitis macularius","spotted sandpiper"
"solsan","tringa solitaria","solitary sandpiper"
"comred1","tringa totanus","common redshank"
"lesyel","tringa flavipes","lesser yellowlegs"
"willet1","tringa semipalmata","willet"
"greyel","tringa melanoleuca","greater yellowlegs"
"rudtur","arenaria interpres","ruddy turnstone"
"redkno","calidris canutus","red knot"
"stisan","calidris himantopus","stilt sandpiper"
"bubsan","calidris subruficollis","buff-breasted sandpiper"
"sander","calidris alba","sanderling"
"dunlin","calidris alpina","dunlin"
"pursan","calidris maritima","purple sandpiper"
"baisan","calidris bairdii","baird's sandpiper"
"leasan","calidris minutilla","least sandpiper"
"pecsan","calidris melanotos","pectoral sandpiper"
"wessan","calidris mauri","western sandpiper"
"semsan","calidris pusilla","semipalmated sandpiper"
"parjae","stercorarius parasiticus","parasitic jaeger"
"pomjae","stercorarius pomarinus","pomarine jaeger"
"sabgul","xema sabini","sabine's gull"
"bongul","chroicocephalus philadelphia","bonaparte's gull"
"laugul","leucophaeus atricilla","laughing gull"
"fragul","leucophaeus pipixcan","franklin's gull"
"audgul1","ichthyaetus audouinii","audouin's gull"
"ribgul","larus delawarensis","ring-billed gull"
"kelgul","larus dominicanus","kelp gull"
"hergul","larus argentatus","herring gull"
"yelgul1","larus michahellis","yellow-legged gull"
"gbbgul","larus marinus","great black-backed gull"
"glagul","larus hyperboreus","glaucous gull"
"lbbgul","larus fuscus","lesser black-backed gull"
"glwgul","larus glaucescens","glaucous-winged gull"
"y00478","larus glaucoides","iceland gull"
"leater1","sternula antillarum","least tern"
"caster1","hydroprogne caspia","caspian tern"
"blkter","chlidonias niger","black tern"
"forter","sterna forsteri","forster's tern"
"arcter","sterna paradisaea","arctic tern"
"comter","sterna hirundo","common tern"
"santer1","thalasseus sandvicensis","sandwich tern"
"eleter1","thalasseus elegans","elegant tern"
"royter1","thalasseus maximus","royal tern"
"retloo","gavia stellata","red-throated loon"
"pacloo","gavia pacifica","pacific loon"
"comloo","gavia immer","common loon"
"magfri","fregata magnificens","magnificent frigatebird"
"norgan","morus bassanus","northern gannet"
"grecor","phalacrocorax carbo","great cormorant"
"doccor","nannopterum auritum","double-crested cormorant"
"amebit","botaurus lentiginosus","american bittern"
"leabit","ixobrychus exilis","least bittern"
"ycnher","nyctanassa violacea","yellow-crowned night heron"
"bcnher","nycticorax nycticorax","black-crowned night heron"
"libher","egretta caerulea","little blue heron"
"triher","egretta tricolor","tricolored heron"
"snoegr","egretta thula","snowy egret"
"grnher","butorides virescens","green heron"
"inpher1","ardeola grayii","indian pond-heron"
"greegr","ardea alba","great egret"
"grbher3","ardea herodias","great blue heron"
"whiibi","eudocimus albus","white ibis"
"gloibi","plegadis falcinellus","glossy ibis"
"hadibi1","bostrychia hagedash","hadada ibis"
"turvul","cathartes aura","turkey vulture"
"osprey","pandion haliaetus","osprey"
"orihob2","pernis ptilorhynchus","oriental honey-buzzard"
"swtkit","elanoides forficatus","swallow-tailed kite"
"cinvul1","aegypius monachus","cinereous vulture"
"eurgri1","gyps fulvus","eurasian griffon"
"booeag1","hieraaetus pennatus","booted eagle"
"goleag","aquila chrysaetos","golden eagle"
"norhar2","circus hudsonius","northern harrier"
"redkit1","milvus milvus","red kite"
"blakit1","milvus migrans","black kite"
"baleag","haliaeetus leucocephalus","bald eagle"
"hrshaw","parabuteo unicinctus","harris's hawk"
"bcbeag1","geranoaetus melanoleucus","black-chested buzzard-eagle"
"rethaw","buteo jamaicensis","red-tailed hawk"
"rolhaw","buteo lagopus","rough-legged hawk"
"ferhaw","buteo regalis","ferruginous hawk"
"brnowl","tyto alba","barn owl"
"snoowl1","bubo scandiacus","snowy owl"
"grhowl","bubo virginianus","great horned owl"
"nohowl","surnia ulula","northern hawk owl"
"litowl1","athene noctua","little owl"
"loeowl","asio otus","long-eared owl"
"sheowl","asio flammeus","short-eared owl"
"comkin1","alcedo atthis","common kingfisher"
"laukoo1","dacelo novaeguineae","laughing kookaburra"
"belkin1","megaceryle alcyon","belted kingfisher"
"piekin1","ceryle rudis","pied kingfisher"
"eubeat1","merops apiaster","european bee-eater"
"yebsap","sphyrapicus varius","yellow-bellied sapsucker"
"syrwoo1","dendrocopos syriacus","syrian woodpecker"
"grnwoo3","picus sharpei","iberian green woodpecker"
"norfli","colaptes auratus","northern flicker"
"y00678","caracara plancus","crested caracara"
"yehcar1","daptrius chimachima","yellow-headed caracara"
"eurkes","falco tinnunculus","eurasian kestrel"
"amekes","falco sparverius","american kestrel"
"merlin","falco columbarius","merlin"
"aplfal","falco femoralis","aplomado falcon"
"perfal","falco peregrinus","peregrine falcon"
"cockat","nymphicus hollandicus","cockatiel"
"galah","eolophus roseicapilla","galah"
"succoc","cacatua galerita","sulphur-crested cockatoo"
"aukpar1","alisterus scapularis","australian king-parrot"
"alepar2","psittacula eupatria","alexandrine parakeet"
"plhpar1","psittacula cyanocephala","plum-headed parakeet"
"criros2","platycercus elegans","crimson rosella"
"easros1","platycercus eximius","eastern rosella"
"rerpar1","psephotus haematonotus","red-rumped parrot"
"budger","melopsittacus undulatus","budgerigar"
"railor5","trichoglossus moluccanus","rainbow lorikeet"
"monpar","myiopsitta monachus","monk parakeet"
"meapar","amazona farinosa","mealy parrot"
"bkhpar","aratinga nenday","nanday parakeet"
"baymac","ara ararauna","blue-and-yellow macaw"
"scamac1","ara macao","scarlet macaw"
"eawpew","contopus virens","eastern wood-pewee"
"yebfly","empidonax flaviventris","yellow-bellied flycatcher"
"acafly","empidonax virescens","acadian flycatcher"
"aldfly","empidonax alnorum","alder flycatcher"
"leafly","empidonax minimus","least flycatcher"
"weskin","tyrannus verticalis","western kingbird"
"easkin","tyrannus tyrannus","eastern kingbird"
"whevir","vireo griseus","white-eyed vireo"
"yetvir","vireo flavifrons","yellow-throated vireo"
"phivir","vireo philadelphicus","philadelphia vireo"
"reevir1","vireo olivaceus","red-eyed vireo"
"eugori2","oriolus oriolus","eurasian golden oriole"
"rebshr1","lanius collurio","red-backed shrike"
"brnshr","lanius cristatus","brown shrike"
"lotshr1","lanius schach","long-tailed shrike"
"norshr4","lanius borealis","northern shrike"
"ibgshr1","lanius meridionalis","iberian gray shrike"
"wooshr1","lanius senator","woodchat shrike"
"grnjay","cyanocorax yncas","green jay"
"eurjay1","garrulus glandarius","eurasian jay"
"azwmag3","cyanopica cooki","iberian magpie"
"eurmag1","pica pica","eurasian magpie"
"houcro1","corvus splendens","house crow"
"comrav","corvus corax","common raven"
"martit2","poecile palustris","marsh tit"
"blutit","cyanistes caeruleus","eurasian blue tit"
"gretit1","parus major","great tit"
"horlar","eremophila alpestris","horned lark"
"callar1","melanocorypha calandra","calandra lark"
"thelar1","galerida theklae","thekla's lark"
"crelar1","galerida cristata","crested lark"
"blrwar1","acrocephalus dumetorum","blyth's reed warbler"
"banswa","riparia riparia","bank swallow"
"treswa","tachycineta bicolor","tree swallow"
"purmar","progne subis","purple martin"
"eurcrm1","ptyonoprogne rupestris","eurasian crag-martin"
"barswa","hirundo rustica","barn swallow"
"rerswa1","cecropis daurica","red-rumped swallow"
"cliswa","petrochelidon pyrrhonota","cliff swallow"
"revbul","pycnonotus cafer","red-vented bulbul"
"wlwwar","phylloscopus trochilus","willow warbler"
"comchi1","phylloscopus collybita","common chiffchaff"
"ibechi2","phylloscopus ibericus","iberian chiffchaff"
"cetwar1","cettia cetti","cetti's warbler"
"leswhi4","curruca curruca","lesser whitethroat"
"sarwar1","curruca melanocephala","sardinian warbler"
"grewhi1","curruca communis","greater whitethroat"
"darwar1","curruca undata","dartford warbler"
"reblei","leiothrix lutea","red-billed leiothrix"
"ruckin","corthylio calendula","ruby-crowned kinglet"
"goldcr1","regulus regulus","goldcrest"
"rebnut","sitta canadensis","red-breasted nuthatch"
"shttre1","certhia brachydactyla","short-toed treecreeper"
"hilmyn","gracula religiosa","common hill myna"
"eursta","sturnus vulgaris","european starling"
"sposta1","sturnus unicolor","spotless starling"
"commyn","acridotheres tristis","common myna"
"grycat","dumetella carolinensis","gray catbird"
"tromoc","mimus gilvus","tropical mockingbird"
"normoc","mimus polyglottos","northern mockingbird"
"varthr","ixoreus naevius","varied thrush"
"veery","catharus fuscescens","veery"
"gycthr","catharus minimus","gray-cheeked thrush"
"swathr","catharus ustulatus","swainson's thrush"
"herthr","catharus guttatus","hermit thrush"
"woothr","hylocichla mustelina","wood thrush"
"eurbla","turdus merula","eurasian blackbird"
"amerob","turdus migratorius","american robin"
"palthr1","turdus pallidus","pale thrush"
"whrsha","copsychus malabaricus","white-rumped shama"
"eurrob1","erithacus rubecula","european robin"
"comnig1","luscinia megarhynchos","common nightingale"
"blueth","luscinia svecica","bluethroat"
"blared1","phoenicurus ochruros","black redstart"
"bohwax","bombycilla garrulus","bohemian waxwing"
"cedwax","bombycilla cedrorum","cedar waxwing"
"nutman","lonchura punctulata","scaly-breasted munia"
"houspa","passer domesticus","house sparrow"
"eutspa","passer montanus","eurasian tree sparrow"
"grywag","motacilla cinerea","gray wagtail"
"amepip","anthus rubescens","american pipit"
"comcha","fringilla coelebs","common chaffinch"
"pingro","pinicola enucleator","pine grosbeak"
"houfin","haemorhous mexicanus","house finch"
"comred","acanthis flammea","common redpoll"
"hoared","acanthis hornemanni","hoary redpoll"
"redcro","loxia curvirostra","red crossbill"
"whwcro","loxia leucoptera","white-winged crossbill"
"eurgol","carduelis carduelis","european goldfinch"
"eurser1","serinus serinus","european serin"
"amegfi","spinus tristis","american goldfinch"
"laplon","calcarius lapponicus","lapland longspur"
"snobun","plectrophenax nivalis","snow bunting"
"corbun1","emberiza calandra","corn bunting"
"larspa","chondestes grammacus","lark sparrow"
"amtspa","spizelloides arborea","american tree sparrow"
"foxspa","passerella iliaca","fox sparrow"
"daejun","junco hyemalis","dark-eyed junco"
"rucspa1","zonotrichia capensis","rufous-collared sparrow"
"whcspa","zonotrichia leucophrys","white-crowned sparrow"
"whtspa","zonotrichia albicollis","white-throated sparrow"
"savspa","passerculus sandwichensis","savannah sparrow"
"sonspa","melospiza melodia","song sparrow"
"linspa","melospiza lincolnii","lincoln's sparrow"
"spotow","pipilo maculatus","spotted towhee"
"yehbla","xanthocephalus xanthocephalus","yellow-headed blackbird"
"boboli","dolichonyx oryzivorus","bobolink"
"balori","icterus galbula","baltimore oriole"
"rewbla","agelaius phoeniceus","red-winged blackbird"
"bnhcow","molothrus ater","brown-headed cowbird"
"comgra","quiscalus quiscula","common grackle"
"botgra","quiscalus major","boat-tailed grackle"
"grtgra","quiscalus mexicanus","great-tailed grackle"
"ovenbi1","seiurus aurocapilla","ovenbird"
"norwat","parkesia noveboracensis","northern waterthrush"
"gowwar","vermivora chrysoptera","golden-winged warbler"
"buwwar","vermivora cyanoptera","blue-winged warbler"
"bawwar","mniotilta varia","black-and-white warbler"
"prowar","protonotaria citrea","prothonotary warbler"
"tenwar","leiothlypis peregrina","tennessee warbler"
"conwar","oporornis agilis","connecticut warbler"
"comyel","geothlypis trichas","common yellowthroat"
"hoowar","setophaga citrina","hooded warbler"
"amered","setophaga ruticilla","american redstart"
"camwar","setophaga tigrina","cape may warbler"
"cerwar","setophaga cerulea","cerulean warbler"
"norpar","setophaga americana","northern parula"
"magwar","setophaga magnolia","magnolia warbler"
"babwar","setophaga castanea","bay-breasted warbler"
"bkbwar","setophaga fusca","blackburnian warbler"
"yelwar","setophaga petechia","yellow warbler"
"chswar","setophaga pensylvanica","chestnut-sided warbler"
"bkpwar","setophaga striata","blackpoll warbler"
"btbwar","setophaga caerulescens","black-throated blue warbler"
"palwar","setophaga palmarum","palm warbler"
"yerwar","setophaga coronata","yellow-rumped warbler"
"yetwar","setophaga dominica","yellow-throated warbler"
"btnwar","setophaga virens","black-throated green warbler"
"canwar","cardellina canadensis","canada warbler"
"wlswar","cardellina pusilla","wilson's warbler"
"scatan","piranga olivacea","scarlet tanager"
"norcar","cardinalis cardinalis","northern cardinal"
"robgro","pheucticus ludovicianus","rose-breasted grosbeak"
"blugrb1","passerina caerulea","blue grosbeak"
"indbun","passerina cyanea","indigo bunting"
"paibun","passerina ciris","painted bunting"
"dickci","spiza americana","dickcissel"
"reccar","paroaria coronata","red-crested cardinal"
"saffin","sicalis flaveola","saffron finch"
"recfin1","coryphospingus cucullatus","red-crested finch"
"yefgra1","tiaris olivaceus","yellow-faced grassquit"
