"code","scientific_name","common_name"
"eucdov","streptopelia decaocto","eurasian collared-dove"
NA,"chalcophaps indica","asian emerald dove"
"cogdov","columbina passerina","common ground dove"
NA,"columbina minuta","plain-breasted ground dove"
"rugdov","columbina talpacoti","ruddy ground dove"
NA,"columbina buckleyi","ecuadorian ground dove"
NA,"columbina squammata","scaled dove"
"pigdov1","columbina picui","picui ground dove"
NA,"claravis pretiosa","blue ground dove"
NA,"geotrygon montana","ruddy quail-dove"
"whtdov","leptotila verreauxi","white-tipped dove"
NA,"leptotila jamaicensis","caribbean dove"
NA,"leptotila cassinii","gray-chested dove"
NA,"leptotila plumbeiceps","gray-headed dove"
"wepdov1","zenaida meloda","west peruvian dove"
"whwdov","zenaida asiatica","white-winged dove"
"eardov1","zenaida auriculata","eared dove"
NA,"guira guira","guira cuckoo"
"greani1","crotophaga major","greater ani"
"smbani","crotophaga ani","smooth-billed ani"
"grbani","crotophaga sulcirostris","groove-billed ani"
NA,"tapera naevia","striped cuckoo"
NA,"piaya cayana","squirrel cuckoo"
"yebcuc","coccyzus americanus","yellow-billed cuckoo"
"mancuc","coccyzus minor","mangrove cuckoo"
"bkbcuc","coccyzus erythropthalmus","black-billed cuckoo"
"lesnig","chordeiles acutipennis","lesser nighthawk"
"comnig","chordeiles minor","common nighthawk"
"antnig","chordeiles gundlachii","antillean nighthawk"
"compau","nyctidromus albicollis","common pauraque"
"chwwid","antrostomus carolinensis","chuck-will's-widow"
NA,"nyctibius griseus","common potoo"
"blkswi","cypseloides niger","black swift"
NA,"streptoprocne zonaris","white-collared swift"
NA,"chaetura cinereiventris","gray-rumped swift"
"chiswi","chaetura pelagica","chimney swift"
"vauswi","chaetura vauxi","vaux's swift"
"sicswi1","chaetura meridionalis","sick's swift"
NA,"chaetura brachyura","short-tailed swift"
NA,"tachymarptis melba","alpine swift"
NA,"apus apus","common swift"
NA,"panyptila cayennensis","lesser swallow-tailed swift"
NA,"florisuga mellivora","white-necked jacobin"
NA,"eutoxeres aquila","white-tipped sicklebill"
NA,"glaucis hirsutus","rufous-breasted hermit"
NA,"threnetes ruckeri","band-tailed barbthroat"
NA,"phaethornis guy","green hermit"
NA,"phaethornis longirostris","long-billed hermit"
NA,"phaethornis striigularis","stripe-throated hermit"
NA,"colibri serrirostris","white-vented violetear"
"spvear1","colibri coruscans","sparkling violetear"
NA,"colibri delphinae","brown violetear"
NA,"colibri cyanotus","lesser violetear"
NA,"androdon aequatorialis","tooth-billed hummingbird"
NA,"anthracothorax nigricollis","black-throated mango"
"gnbman","anthracothorax prevostii","green-breasted mango"
"grbfir1","sephanoides sephaniodes","green-backed firecrown"
NA,"sappho sparganurus","red-tailed comet"
NA,"haplophaedia aureliae","greenish puffleg"
"colinc1","coeligena torquata","collared inca"
"giahum1","patagona gigas","giant hummingbird"
NA,"heliomaster longirostris","long-billed starthroat"
NA,"heliomaster furcifer","blue-tufted starthroat"
NA,"thaumastura cora","peruvian sheartail"
"oashum1","rhodopis vesper","oasis hummingbird"
NA,"chlorostilbon mellisugus","blue-tailed emerald"
NA,"chlorostilbon lucidus","glittering-bellied emerald"
NA,"klais guimeti","violet-headed hummingbird"
NA,"chalybura urochrysia","bronze-tailed plumeleteer"
NA,"chalybura buffonii","white-vented plumeleteer"
NA,"thalurania colombica","crowned woodnymph"
NA,"saucerottia edward","snowy-bellied hummingbird"
"stvhum2","saucerottia saucerottei","steely-vented hummingbird"
"rtlhum","amazilia tzacatl","rufous-tailed hummingbird"
NA,"chrysuronia humboldtii","humboldt's sapphire"
NA,"hylocharis chrysura","gilded hummingbird"
NA,"chlorestes eliciae","blue-throated goldentail"
NA,"chlorestes julie","violet-bellied hummingbird"
"virrai","rallus limicola","virginia rail"
NA,"crex crex","corn crake"
NA,"amaurolimnas concolor","uniform crake"
NA,"aramides ypecaha","giant wood-rail"
NA,"aramides cajaneus","gray-cowled wood-rail"
NA,"porphyriops melanops","spot-flanked gallinule"
"sora","porzana carolina","sora"
"comgal1","gallinula galeata","common gallinule"
"refcoo1","fulica rufifrons","red-fronted coot"
"regcoo1","fulica armillata","red-gartered coot"
"y00475","fulica americana","american coot"
"purgal2","porphyrio martinica","purple gallinule"
NA,"rufirallus schomburgkii","ocellated crake"
NA,"laterallus albigularis","white-throated crake"
NA,"laterallus jamaicensis","black rail"
"limpki","aramus guarauna","limpkin"
NA,"hesperoburhinus bistriatus","double-striped thick-knee"
"bknsti","himantopus mexicanus","black-necked stilt"
"ameavo","recurvirostra americana","american avocet"
"ameoys","haematopus palliatus","american oystercatcher"
NA,"haematopus ater","blackish oystercatcher"
NA,"haematopus leucopodus","magellanic oystercatcher"
"bkbplo","pluvialis squatarola","black-bellied plover"
"amgplo","pluvialis dominica","american golden-plover"
NA,"pluvialis fulva","pacific golden-plover"
NA,"zonibyx modestus","rufous-chested dotterel"
"killde","charadrius vociferus","killdeer"
"semplo","charadrius semipalmatus","semipalmated plover"
"pipplo","charadrius melodus","piping plover"
"soulap1","vanellus chilensis","southern lapwing"
"wilplo","anarhynchus wilsonia","wilson's plover"
NA,"anarhynchus collaris","collared plover"
NA,"anarhynchus falklandicus","two-banded plover"
"snoplo5","anarhynchus nivosus","snowy plover"
NA,"nycticryphes semicollaris","south american painted-snipe"
"norjac","jacana spinosa","northern jacana"
"watjac1","jacana jacana","wattled jacana"
"uplsan","bartramia longicauda","upland sandpiper"
"brtcur","numenius tahitiensis","bristle-thighed curlew"
"whimbr","numenius phaeopus","whimbrel"
"lobcur","numenius americanus","long-billed curlew"
NA,"numenius arquata","eurasian curlew"
"batgod","limosa lapponica","bar-tailed godwit"
NA,"limosa limosa","black-tailed godwit"
"hudgod","limosa haemastica","hudsonian godwit"
"margod","limosa fedoa","marbled godwit"
"shbdow","limnodromus griseus","short-billed dowitcher"
"lobdow","limnodromus scolopaceus","long-billed dowitcher"
"wilsni1","gallinago delicata","wilson's snipe"
"wilpha","phalaropus tricolor","wilson's phalarope"
NA,"phalaropus lobatus","red-necked phalarope"
NA,"xenus cinereus","terek sandpiper"
"sposan","actitis macularius","spotted sandpiper"
"solsan","tringa solitaria","solitary sandpiper"
"wantat1","tringa incana","wandering tattler"
NA,"tringa glareola","wood sandpiper"
"lesyel","tringa flavipes","lesser yellowlegs"
"willet1","tringa semipalmata","willet"
NA,"tringa erythropus","spotted redshank"
NA,"tringa nebularia","common greenshank"
"greyel","tringa melanoleuca","greater yellowlegs"
"rudtur","arenaria interpres","ruddy turnstone"
"redkno","calidris canutus","red knot"
"surfbi","calidris virgata","surfbird"
NA,"calidris pugnax","ruff"
NA,"calidris acuminata","sharp-tailed sandpiper"
NA,"calidris ferruginea","curlew sandpiper"
"stisan","calidris himantopus","stilt sandpiper"
"bubsan","calidris subruficollis","buff-breasted sandpiper"
"sander","calidris alba","sanderling"
"dunlin","calidris alpina","dunlin"
"baisan","calidris bairdii","baird's sandpiper"
NA,"calidris minuta","little stint"
NA,"calidris fuscicollis","white-rumped sandpiper"
"leasan","calidris minutilla","least sandpiper"
"pecsan","calidris melanotos","pectoral sandpiper"
"wessan","calidris mauri","western sandpiper"
"semsan","calidris pusilla","semipalmated sandpiper"
NA,"stercorarius longicaudus","long-tailed jaeger"
"parjae","stercorarius parasiticus","parasitic jaeger"
"pomjae","stercorarius pomarinus","pomarine jaeger"
NA,"hydrocoloeus minutus","little gull"
"sabgul","xema sabini","sabine's gull"
"bongul","chroicocephalus philadelphia","bonaparte's gull"
NA,"chroicocephalus maculipennis","brown-hooded gull"
NA,"chroicocephalus ridibundus","black-headed gull"
NA,"leucophaeus modestus","gray gull"
"laugul","leucophaeus atricilla","laughing gull"
"fragul","leucophaeus pipixcan","franklin's gull"
"audgul1","ichthyaetus audouinii","audouin's gull"
"ribgul","larus delawarensis","ring-billed gull"
"kelgul","larus dominicanus","kelp gull"
"hergul","larus argentatus","herring gull"
"gbbgul","larus marinus","great black-backed gull"
"lbbgul","larus fuscus","lesser black-backed gull"
"calgul","larus californicus","california gull"
"blkski","rynchops niger","black skimmer"
"leater1","sternula antillarum","least tern"
"caster1","hydroprogne caspia","caspian tern"
"blkter","chlidonias niger","black tern"
NA,"chlidonias leucopterus","white-winged tern"
"arcter","sterna paradisaea","arctic tern"
"soater1","sterna hirundinacea","south american tern"
"comter","sterna hirundo","common tern"
NA,"sterna dougallii","roseate tern"
"santer1","thalasseus sandvicensis","sandwich tern"
"eleter1","thalasseus elegans","elegant tern"
"royter1","thalasseus maximus","royal tern"
NA,"ciconia maguari","maguari stork"
NA,"jabiru mycteria","jabiru"
"woosto","mycteria americana","wood stork"
"magfri","fregata magnificens","magnificent frigatebird"
"ausgan1","morus serrator","australasian gannet"
"perboo1","sula variegata","peruvian booby"
"anhing","anhinga anhinga","anhinga"
"doccor","nannopterum auritum","double-crested cormorant"
"neocor","nannopterum brasilianum","neotropic cormorant"
NA,"leucocarbo atriceps","imperial cormorant"
"amwpel","pelecanus erythrorhynchos","american white pelican"
"brnpel","pelecanus occidentalis","brown pelican"
"perpel1","pelecanus thagus","peruvian pelican"
NA,"tigrisoma lineatum","rufescent tiger-heron"
"btther1","tigrisoma mexicanum","bare-throated tiger-heron"
NA,"tigrisoma fasciatum","fasciated tiger-heron"
NA,"cochlearius cochlearius","boat-billed heron"
NA,"agamia agami","agami heron"
"leabit","ixobrychus exilis","least bittern"
"ycnher","nyctanassa violacea","yellow-crowned night heron"
"bcnher","nycticorax nycticorax","black-crowned night heron"
NA,"syrigma sibilatrix","whistling heron"
"libher","egretta caerulea","little blue heron"
"triher","egretta tricolor","tricolored heron"
"redegr","egretta rufescens","reddish egret"
"snoegr","egretta thula","snowy egret"
NA,"egretta garzetta","little egret"
NA,"egretta gularis","western reef-heron"
NA,"butorides striata","striated heron"
"grnher","butorides virescens","green heron"
NA,"ardeola ralloides","squacco heron"
"greegr","ardea alba","great egret"
NA,"ardea cinerea","gray heron"
"grbher3","ardea herodias","great blue heron"
NA,"ardea cocoi","cocoi heron"
NA,"ardea purpurea","purple heron"
"whiibi","eudocimus albus","white ibis"
"gloibi","plegadis falcinellus","glossy ibis"
"whfibi","plegadis chihi","white-faced ibis"
NA,"mesembrinibis cayennensis","green ibis"
NA,"phimosus infuscatus","bare-faced ibis"
"bunibi1","theristicus caudatus","buff-necked ibis"
NA,"theristicus melanopis","black-faced ibis"
"rosspo1","platalea ajaja","roseate spoonbill"
"andcon1","vultur gryphus","andean condor"
"kinvul1","sarcoramphus papa","king vulture"
"blkvul","coragyps atratus","black vulture"
"turvul","cathartes aura","turkey vulture"
"lyhvul1","cathartes burrovianus","lesser yellow-headed vulture"
"osprey","pandion haliaetus","osprey"
"whtkit","elanus leucurus","white-tailed kite"
NA,"chondrohierax uncinatus","hook-billed kite"
NA,"leptodon cayanensis","gray-headed kite"
"swtkit","elanoides forficatus","swallow-tailed kite"
NA,"spizaetus tyrannus","black hawk-eagle"
NA,"spizaetus ornatus","ornate hawk-eagle"
NA,"spizaetus melanoleucus","black-and-white hawk-eagle"
"snakit","rostrhamus sociabilis","snail kite"
NA,"harpagus bidentatus","double-toothed kite"
"miskit","ictinia mississippiensis","mississippi kite"
NA,"ictinia plumbea","plumbeous kite"
NA,"circus buffoni","long-winged harrier"
"cinhar1","circus cinereus","cinereous harrier"
"norhar2","circus hudsonius","northern harrier"
"shshaw","accipiter striatus","sharp-shinned hawk"
"coohaw","accipiter cooperii","cooper's hawk"
NA,"accipiter bicolor","bicolored hawk"
"blakit1","milvus migrans","black kite"
NA,"geranospiza caerulescens","crane hawk"
NA,"cryptoleucopteryx plumbea","plumbeous hawk"
"comblh1","buteogallus anthracinus","common black hawk"
NA,"buteogallus meridionalis","savanna hawk"
NA,"buteogallus urubitinga","great black hawk"
NA,"morphnarchus princeps","barred hawk"
"roahaw","rupornis magnirostris","roadside hawk"
"hrshaw","parabuteo unicinctus","harris's hawk"
"whthaw","geranoaetus albicaudatus","white-tailed hawk"
"rebhaw2","geranoaetus polyosoma","variable hawk"
"bcbeag1","geranoaetus melanoleucus","black-chested buzzard-eagle"
NA,"pseudastur albicollis","white hawk"
NA,"leucopternis semiplumbeus","semiplumbeous hawk"
NA,"buteo nitidus","gray-lined hawk"
"brwhaw","buteo platypterus","broad-winged hawk"
"shthaw","buteo brachyurus","short-tailed hawk"
NA,"buteo albigula","white-throated hawk"
"swahaw","buteo swainsoni","swainson's hawk"
"zothaw","buteo albonotatus","zone-tailed hawk"
"rethaw","buteo jamaicensis","red-tailed hawk"
"brnowl","tyto alba","barn owl"
NA,"pulsatrix perspicillata","spectacled owl"
"grhowl","bubo virginianus","great horned owl"
NA,"glaucidium griseiceps","central american pygmy-owl"
"fepowl","glaucidium brasilianum","ferruginous pygmy-owl"
"burowl","athene cunicularia","burrowing owl"
NA,"strix virgata","mottled owl"
NA,"strix nigrolineata","black-and-white owl"
"sheowl","asio flammeus","short-eared owl"
NA,"pharomachrus auriceps","golden-headed quetzal"
NA,"trogon massena","slaty-tailed trogon"
"gartro1","trogon caligatus","gartered trogon"
NA,"trogon collaris","collared trogon"
NA,"hylomanes momotula","tody motmot"
NA,"momotus subrufescens","whooping motmot"
"higmot1","momotus aequatorialis","andean motmot"
NA,"baryphthengus martii","rufous motmot"
NA,"electron platyrhynchum","broad-billed motmot"
"rinkin1","megaceryle torquata","ringed kingfisher"
"belkin1","megaceryle alcyon","belted kingfisher"
NA,"chloroceryle amazona","amazon kingfisher"
NA,"chloroceryle aenea","american pygmy kingfisher"
"grnkin","chloroceryle americana","green kingfisher"
NA,"chloroceryle inda","green-and-rufous kingfisher"
NA,"notharchus pectoralis","black-breasted puffbird"
NA,"nystalus radiatus","barred puffbird"
NA,"nonnula frontalis","gray-cheeked nunlet"
NA,"brachygalba salmoni","dusky-backed jacamar"
NA,"galbula ruficauda","rufous-tailed jacamar"
NA,"jacamerops aureus","great jacamar"
NA,"capito maculicoronatus","spot-crowned barbet"
NA,"capito hypoleucus","white-mantled barbet"
"rehbar1","eubucco bourcierii","red-headed barbet"
"noremt1","aulacorhynchus prasinus","northern emerald-toucanet"
NA,"pteroglossus torquatus","collared aracari"
NA,"selenidera spectabilis","yellow-eared toucanet"
NA,"ramphastos toco","toco toucan"
NA,"ramphastos ambiguus","yellow-throated toucan"
"kebtou1","ramphastos sulfuratus","keel-billed toucan"
NA,"picumnus cirratus","white-barred piculet"
NA,"picumnus nebulosus","mottled piculet"
"yebsap","sphyrapicus varius","yellow-bellied sapsucker"
NA,"melanerpes candidus","white woodpecker"
"acowoo","melanerpes formicivorus","acorn woodpecker"
NA,"melanerpes pucherani","black-cheeked woodpecker"
NA,"melanerpes cactorum","white-fronted woodpecker"
"recwoo1","melanerpes rubricapillus","red-crowned woodpecker"
NA,"dryobates fumigatus","smoky-brown woodpecker"
NA,"dryobates kirkii","red-rumped woodpecker"
NA,"dryobates mixtus","checkered woodpecker"
"strwoo6","dryobates lignarius","striped woodpecker"
NA,"campephilus melanoleucos","crimson-crested woodpecker"
"linwoo1","dryocopus lineatus","lineated woodpecker"
NA,"dryocopus schulzii","black-bodied woodpecker"
NA,"celeus loricatus","cinnamon woodpecker"
NA,"piculus callopterus","stripe-cheeked woodpecker"
NA,"piculus chrysochloros","golden-green woodpecker"
NA,"colaptes rubiginosus","golden-olive woodpecker"
"chifli1","colaptes pitius","chilean flicker"
NA,"colaptes campestris","campo flicker"
NA,"cariama cristata","red-legged seriema"
NA,"herpetotheres cachinnans","laughing falcon"
NA,"micrastur semitorquatus","collared forest-falcon"
NA,"micrastur mirandollei","slaty-backed forest-falcon"
NA,"micrastur ruficollis","barred forest-falcon"
"y00678","caracara plancus","crested caracara"
NA,"ibycter americanus","red-throated caracara"
"yehcar1","daptrius chimachima","yellow-headed caracara"
"chicar1","daptrius chimango","chimango caracara"
"eurkes","falco tinnunculus","eurasian kestrel"
"amekes","falco sparverius","american kestrel"
"merlin","falco columbarius","merlin"
"aplfal","falco femoralis","aplomado falcon"
NA,"falco rufigularis","bat falcon"
"perfal","falco peregrinus","peregrine falcon"
"cockat","nymphicus hollandicus","cockatiel"
"alepar2","psittacula eupatria","alexandrine parakeet"
NA,"psittacula krameri","rose-ringed parakeet"
"plhpar1","psittacula cyanocephala","plum-headed parakeet"
NA,"cyanoramphus auriceps","yellow-crowned parakeet"
"criros2","platycercus elegans","crimson rosella"
"easros1","platycercus eximius","eastern rosella"
"rerpar1","psephotus haematonotus","red-rumped parrot"
"budger","melopsittacus undulatus","budgerigar"
NA,"agapornis roseicollis","rosy-faced lovebird"
NA,"psilopsiagon aurifrons","mountain parakeet"
NA,"bolborhynchus lineola","barred parakeet"
"monpar","myiopsitta monachus","monk parakeet"
"whwpar","brotogeris versicolurus","white-winged parakeet"
"yecpar","brotogeris chiriri","yellow-chevroned parakeet"
"orcpar","brotogeris jugularis","orange-chinned parakeet"
"brhpar1","pyrilia haematotis","brown-hooded parrot"
NA,"pyrilia pyrilia","saffron-headed parrot"
NA,"pionus maximiliani","scaly-headed parrot"
"blhpar1","pionus menstruus","blue-headed parrot"
"brwpar1","pionus chalcopterus","bronze-winged parrot"
"relpar","amazona autumnalis","red-lored parrot"
NA,"amazona ochrocephala","yellow-crowned parrot"
NA,"amazona aestiva","turquoise-fronted parrot"
"meapar","amazona farinosa","mealy parrot"
NA,"amazona amazonica","orange-winged parrot"
NA,"forpus passerinus","green-rumped parrotlet"
NA,"pyrrhura picta","painted parakeet"
NA,"enicognathus ferrugineus","austral parakeet"
NA,"eupsittula pertinax","brown-throated parakeet"
"bkhpar","aratinga nenday","nanday parakeet"
"baymac","ara ararauna","blue-and-yellow macaw"
NA,"ara severus","chestnut-fronted macaw"
NA,"ara ambiguus","great green macaw"
"scamac1","ara macao","scarlet macaw"
NA,"ara chloropterus","red-and-green macaw"
NA,"thectocercus acuticaudatus","blue-crowned parakeet"
NA,"psittacara mitratus","mitred parakeet"
NA,"psittacara erythrogenys","red-masked parakeet"
NA,"psittacara leucophthalmus","white-eyed parakeet"
NA,"sapayoa aenigma","sapayoa"
NA,"euchrepomis callinota","rufous-rumped antwren"
NA,"cymbilaimus lineatus","fasciated antshrike"
NA,"taraba major","great antshrike"
NA,"sakesphorus canadensis","black-crested antshrike"
NA,"thamnophilus doliatus","barred antshrike"
NA,"thamnophilus atrinucha","black-crowned antshrike"
NA,"thamnophilus nigriceps","black antshrike"
NA,"thamnophilus caerulescens","variable antshrike"
NA,"thamnistes anabatinus","russet antshrike"
NA,"dysithamnus puncticeps","spot-crowned antvireo"
NA,"epinecrophylla fulviventris","checker-throated stipplethroat"
NA,"myrmotherula pacifica","pacific antwren"
NA,"myrmotherula axillaris","white-flanked antwren"
"slaant1","myrmotherula schisticolor","slaty antwren"
NA,"herpsilochmus rufimarginatus","rufous-margined antwren"
NA,"cercomacroides tyrannina","dusky antbird"
NA,"cercomacra nigricans","jet antbird"
NA,"gymnocichla nudiceps","bare-crowned antbird"
NA,"myrmeciza longipes","white-bellied antbird"
NA,"sipia laemosticta","dull-mantled antbird"
NA,"hafferia zeledoni","zeledon's antbird"
NA,"myrmornis torquata","wing-banded antbird"
NA,"gymnopithys bicolor","bicolored antbird"
NA,"hylophylax naevioides","spotted antbird"
NA,"willisornis poecilinotus","common scale-backed antbird"
NA,"phaenostictus mcleannani","ocellated antbird"
"chcant2","grallaria ruficapilla","chestnut-crowned antpitta"
NA,"myrmothera dives","thicket antpitta"
NA,"grallaricula flavirostris","ochre-breasted antpitta"
NA,"pteroptochos castaneus","chestnut-throated huet-huet"
NA,"scelorchilus rubecula","chucao tapaculo"
NA,"formicarius analis","black-faced antthrush"
NA,"formicarius nigricapillus","black-headed antthrush"
NA,"formicarius rufipectus","rufous-breasted antthrush"
NA,"sittasomus griseicapillus","olivaceous woodcreeper"
"rudwoo1","dendrocincla homochroa","ruddy woodcreeper"
NA,"dendrocincla fuliginosa","plain-brown woodcreeper"
NA,"glyphorynchus spirurus","wedge-billed woodcreeper"
NA,"dendrocolaptes sanctithomae","northern barred-woodcreeper"
NA,"dendrocolaptes picumnus","black-banded woodcreeper"
NA,"xiphocolaptes promeropirhynchus","strong-billed woodcreeper"
NA,"xiphorhynchus susurrans","cocoa woodcreeper"
"spowoo1","xiphorhynchus erythropygius","spotted woodcreeper"
NA,"dendroplex picus","straight-billed woodcreeper"
NA,"campylorhamphus pusillus","brown-billed scythebill"
"scbwoo4","drymornis bridgesii","scimitar-billed woodcreeper"
"sthwoo1","lepidocolaptes souleyetii","streak-headed woodcreeper"
NA,"lepidocolaptes angustirostris","narrow-billed woodcreeper"
NA,"xenops minutus","plain xenops"
NA,"furnarius rufus","rufous hornero"
NA,"phleocryptes melanops","wren-like rushbird"
NA,"cinclodes fuscus","buff-winged cinclodes"
NA,"philydor fuscipenne","slaty-winged foliage-gleaner"
NA,"clibanornis rubiginosus","ruddy foliage-gleaner"
NA,"automolus ochrolaemus","ochre-throated foliage-gleaner"
NA,"premnoplex brunnescens","spotted barbtail"
"thtray1","aphrastura spinicauda","thorn-tailed rayadito"
"pmtspi1","leptasthenura aegithaloides","plain-mantled tit-spinetail"
NA,"phacellodomus striaticollis","freckle-breasted thornbird"
NA,"phacellodomus ruber","greater thornbird"
NA,"anumbius annumbi","firewood-gatherer"
NA,"coryphistera alaudina","lark-like brushrunner"
NA,"asthenes anthoides","austral canastero"
NA,"xenerpestes minlosi","double-banded graytail"
NA,"limnoctites rectirostris","straight-billed reedhaunter"
NA,"cranioleuca pyrrhophia","stripe-crowned spinetail"
NA,"pseudoseisura lophotes","brown cacholote"
NA,"certhiaxis cinnamomeus","yellow-chinned spinetail"
NA,"schoeniophylax phryganophilus","chotoy spinetail"
NA,"synallaxis albescens","pale-breasted spinetail"
NA,"synallaxis frontalis","sooty-fronted spinetail"
"azaspi1","synallaxis azarae","azara's spinetail"
NA,"chiroxiphia lanceolata","lance-tailed manakin"
NA,"corapipo altera","white-ruffed manakin"
NA,"manacus vitellinus","golden-collared manakin"
NA,"manacus manacus","white-bearded manakin"
NA,"pseudopipra pipra","white-crowned manakin"
NA,"ceratopipra mentalis","red-capped manakin"
NA,"carpornis melanocephala","black-headed berryeater"
NA,"phytotoma raimondii","peruvian plantcutter"
NA,"phytotoma rutila","white-tipped plantcutter"
"rutpla1","phytotoma rara","rufous-tailed plantcutter"
NA,"querula purpurata","purple-throated fruitcrow"
NA,"cotinga nattererii","blue cotinga"
NA,"lipaugus unirufus","rufous piha"
NA,"procnias nudicollis","bare-throated bellbird"
NA,"carpodectes hopkei","black-tipped cotinga"
NA,"tityra inquisitor","black-crowned tityra"
NA,"tityra semifasciata","masked tityra"
NA,"schiffornis veraepacis","northern schiffornis"
NA,"schiffornis stenorhyncha","russet-winged schiffornis"
NA,"pachyramphus cinnamomeus","cinnamon becard"
NA,"pachyramphus polychopterus","white-winged becard"
NA,"onychorhynchus coronatus","tropical royal flycatcher"
NA,"terenotriccus erythrurus","ruddy-tailed flycatcher"
NA,"myiobius villosus","tawny-breasted flycatcher"
NA,"myiobius sulphureipygius","sulphur-rumped flycatcher"
NA,"platyrinchus coronatus","golden-crowned spadebill"
NA,"tachuris rubrigastra","many-colored rush tyrant"
NA,"mionectes galbinus","olive-striped flycatcher"
NA,"mionectes oleagineus","ochre-bellied flycatcher"
NA,"leptopogon amaurocephalus","sepia-capped flycatcher"
NA,"leptopogon superciliaris","slaty-capped flycatcher"
NA,"pseudotriccus pelzelni","bronze-olive pygmy-tyrant"
