GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1380670880	2022-04-02 10:55:01.808178	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-02	09:44:00	obsr665305	S106080909	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch.		
URN:CornellLabOfOrnithology:EBIRD:OBS1395223929	2022-04-17 13:10:49.209359	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			8169 Grayson Grove, Montgomery US-AL (32.3310,-86.1544)	L10927216	P	32.3310190	-86.1544470	2022-04-17	11:10:00	obsr234761	S107300659	Stationary	P21	EBIRD	15			1	1		0	1	0		Cloudy. Breezy. 66.		
URN:CornellLabOfOrnithology:EBIRD:OBS1405942670	2022-04-27 10:55:04.89556	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-27	09:44:00	obsr665305	S108198560	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch.		
URN:CornellLabOfOrnithology:EBIRD:OBS1410457776	2022-05-01 09:10:10.835071	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-29	18:00:00	obsr940190	S108575942	Stationary	P21	EBIRD	40			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1402969881	2022-04-24 17:21:02.31235	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-23	11:52:00	obsr665305	S107952305	Stationary	P21	EBIRD	8			1	1		0	1	0		Sun porch.		
URN:CornellLabOfOrnithology:EBIRD:OBS1387000445	2022-04-09 12:09:15.153401	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Blount Cultural Park, Montgomery US-AL 32.35075, -86.21177	L18237006	P	32.3507460	-86.2117730	2022-04-09	09:08:00	obsr1060942	S106610711	Traveling	P22	EBIRD	120	1.961		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1409167957	2022-04-30 11:07:03.097511	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34043, -86.18379	L12518390	P	32.3404340	-86.1837930	2022-04-30	09:51:00	obsr698531	S108469914	Stationary	P21	EBIRD	14			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1396084291	2022-04-18 09:27:56.859036	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34045, -86.18370	L10967029	P	32.3404500	-86.1837040	2022-04-18	08:25:00	obsr698531	S107374516	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1400067082	2022-04-22 13:24:15.311419	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-22	12:08:00	obsr665305	S107705907	Stationary	P21	EBIRD	11			1	1		0	1	0		Sun porch and front yard.		
URN:CornellLabOfOrnithology:EBIRD:OBS1404750873	2022-04-26 08:39:06.207	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34040, -86.18370	L12534769	P	32.3403960	-86.1837050	2022-04-26	07:35:00	obsr698531	S108098311	Stationary	P21	EBIRD	20			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1406077918	2022-04-27 12:30:42.126847	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Gunter Hill Park	L2612930	H	32.3582845	-86.4544322	2022-04-26	17:00:00	obsr106380	S108209563	Traveling	P22	EBIRD	60	1.609		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1404086125	2022-04-25 15:18:41.149445	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34049, -86.18373	L13474452	P	32.3404890	-86.1837320	2022-04-25	14:14:00	obsr698531	S108043970	Stationary	P21	EBIRD	60			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1392227683	2022-04-14 18:53:17.052751	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Sellers	L18506936	P	32.3524490	-86.2841840	2022-04-14	17:38:00	obsr2929208	S107050589	Stationary	P21	EBIRD	14			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1391696799	2022-04-14 08:28:32.50908	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-14	07:18:00	obsr665305	S107003336	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. 63 degrees cloudy.		
URN:CornellLabOfOrnithology:EBIRD:OBS1397985466	2022-04-20 10:32:34.706667	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-20	09:22:00	obsr665305	S107532406	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1393192253	2022-04-15 17:45:16.070695	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1812 Brookstone Dr, Montgomery US-AL 32.34905, -86.16891	L18522272	P	32.3490530	-86.1689100	2022-04-15	16:31:00	obsr234761	S107130502	Stationary	P21	EBIRD	10			1	1		0	1	0		Sunny. Light breeze. 83.		
URN:CornellLabOfOrnithology:EBIRD:OBS1390888940	2022-04-13 10:51:16.672888	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				6					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Lagoon Park Golf course	L18487837	P	32.4011830	-86.2227080	2022-04-13	08:24:00	obsr456189	S106937170	Traveling	P22	EBIRD	83	1.232		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1389148050	2022-04-11 11:59:16.519798	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-11	10:40:00	obsr665305	S106791849	Stationary	P21	EBIRD	11			1	1		0	1	0		Sun porch. 66 degrees partly cloudy.		
URN:CornellLabOfOrnithology:EBIRD:OBS1390487493	2022-04-12 20:06:51.615059	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-12	18:56:00	obsr665305	S106905204	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1405211515	2022-04-26 15:48:08.260425	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Gunter Hill Park	L2612930	H	32.3582845	-86.4544322	2022-04-26	12:00:00	obsr106380	S108137398	Traveling	P22	EBIRD	90	1.609		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1381834704	2022-04-03 12:03:12.608228	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-03	10:42:00	obsr665305	S106178999	Stationary	P21	EBIRD	11			1	1		0	1	0		Sun porch. 71 degrees sunny.		
URN:CornellLabOfOrnithology:EBIRD:OBS1407894000	2022-04-29 09:56:19.944695	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-28	16:15:00	obsr940190	S108363029	Stationary	P21	EBIRD	35			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1380218684	2022-04-01 18:53:49.255357	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-01	17:40:00	obsr665305	S106043547	Stationary	P21	EBIRD	12			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1409848822	2022-04-30 18:31:42.719471	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Alabama State Capitol	L848141	H	32.3776600	-86.3006008	2022-04-30	17:20:00	obsr2924244	S108529082	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1403706954	2022-04-25 09:59:20.807944	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-25	08:44:00	obsr665305	S108011854	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. 72 degrees partly cloudy. First Mississippi Kite of season.		
URN:CornellLabOfOrnithology:EBIRD:OBS1395326169	2022-04-17 14:31:51.740469	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			70–98 Boardwalk, Pike Road US-AL 32.34562, -86.03291	L18556586	P	32.3456180	-86.0329100	2022-04-17	12:29:00	obsr2935536	S107309707	Stationary	P21	EBIRD	61			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1392219820	2022-04-14 18:38:24.326038	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Sellers	L18506936	P	32.3524490	-86.2841840	2022-04-14	16:34:00	obsr2929208	S107049468	Traveling	P22	EBIRD	63	0.360		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1409255195	2022-04-30 11:51:41.514141	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-30	10:44:00	obsr665305	S108476636	Stationary	P21	EBIRD	8			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1383040718	2022-04-04 15:51:10.920759	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-04	12:20:00	obsr665305	S106281920	Stationary	P21	EBIRD	14			1	1		0	1	0		Sun porch.		
URN:CornellLabOfOrnithology:EBIRD:OBS1388655048	2022-04-10 20:17:26.790463	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-10	19:08:00	obsr665305	S106752892	Stationary	P21	EBIRD	9			1	1		0	1	0		Back yard.		
URN:CornellLabOfOrnithology:EBIRD:OBS1399968946	2022-04-22 11:46:56.02223	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-22	10:32:00	obsr665305	S107697294	Stationary	P21	EBIRD	11			1	1		0	1	0		Sun porch. 75 degrees sunny. Stallworth cutting grass.		
URN:CornellLabOfOrnithology:EBIRD:OBS1385180931	2022-04-07 10:40:48.071406	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-07	09:30:00	obsr665305	S106458097	Stationary	P21	EBIRD	11			1	1		0	1	0		Sun porch. 63 degrees sunny.		
URN:CornellLabOfOrnithology:EBIRD:OBS1384435982	2022-04-06 11:04:38.034853	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-06	09:52:00	obsr665305	S106395338	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. 72 degrees cloudy.		
URN:CornellLabOfOrnithology:EBIRD:OBS1383548237	2022-04-05 08:57:34.970064	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-04	18:14:00	obsr665305	S106321090	Stationary	P21	EBIRD	9			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1407971621	2022-04-29 10:53:39.14247	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34049, -86.18374	L16586046	P	32.3404870	-86.1837440	2022-04-29	09:50:00	obsr698531	S108368269	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1406468034	2022-04-27 19:01:11.257712	27616	species	avibase-D77E4B41	American Robin	Turdus migratorius				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Gunter Hill Park	L2612930	H	32.3582845	-86.4544322	2022-04-27	08:45:00	obsr106380	S108243079	Traveling	P22	EBIRD	556	1.609		2	1		0	1	0				
